KO	123_baseline	127_baseline	233_baseline	257_baseline	257_follow.up	293_baseline	362_baseline	363_baseline	363_follow.up	369_baseline	372_baseline	392_baseline	393_baseline	407_baseline	407_follow.up	415_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	454_baseline	454_follow.up	457_baseline	490_baseline	490_follow.up	499_baseline	500_baseline	500_follow.up	505_baseline	510_baseline	510_follow.up	512_baseline	516_baseline	518_baseline	518_follow.up	520_baseline	526_baseline	1284_baseline	1289_baseline	1290_baseline	1292_baseline	1294_baseline	1296_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1310_baseline	1314_baseline	1316_baseline	1318_baseline	1320_baseline	1322_baseline	1324_baseline	1326_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1356_baseline	1358_baseline
K02477	102780	59860	69980	4.5	2.25	4.5	114800	4.5	2.25	5.508	744000	35003	17510	208400	34040	224000	13810	93000	1.125	196300	1.125	211800	4.5	1.125	142000	4.5	403200	4.5	173400	19980	4.5	5e+05	1152.375	244300	160200	2623	1.125	1.125	11.412	1.875	2.25	84700	146100	496000	638000	1340000	316360	42501.5	2.25	4651.5	2.25	47000	2.25	414700	1488000	2.25	989000	643.2	1867000	2.25	2.25	1919000	268000	2083000	1191000	118900	1690000
K02495	425028	963894	255039.8	24	10.665	21	471056	21	21.15	90.63882	7757623	297228.0974	162896.6	590186	122508	1141631.8	158562.66	397776	5.25	918544.2	55.575	1681027.2	23.91	1596.725	574396.8	21	2819406	73.9	1003477.85	65381.78	21	2946369	1732.125	480943	653523	300925	5.25	5.25	43.09838	257.25844	10.5	379485.4	1395803	1114643	10862003	4818123	505256.18722	125130.15	702196.75	169671.0576	296.75	573380	10.5	3000662	4176803	26.75	3889067.5	100091.46	19223780	76.20332	10.5	9031009.4	1227500	9655780	3996200	1180719.52	12532200
K02499	103970	83030	77890	4.5	2.25	4.5	72950	4.5	2.25	5.508	698000	39211.5	12880	203700	29618	140300	14160	61000	1.125	156300	1.125	181000	4.5	1.125	125800	4.5	389000	4.5	120400.75	16950	4.5	493700	576.75	171200	241800	2623	1.125	1.125	10.231	1.875	2.25	111600	152000	469000	2174000	1212000	169860	57100.75	2.25	4651.5	2.25	138100	2.25	339800	1250000	2.25	785000	1338.6	1429000	2.25	2.25	1834000	242600	1554000	1247000	94900	1320000
K02503	436662	839837	234079.4	317613.5	41874.915	3722.2	315447.5	654015	276917.4	381646.17341	4223584	1016144.2987	149582.8	461748.65	109735.5	996769.9	236485.83	437392.5	26280	773138.6	726054.075	1349018.1	579164.91	3496758.55	1497402.9	106145	2632407.5	270069.4	1549441.55	43360.39	480016.5	4553539	689579	1211676	588366	308314	36904.125	562003.75	1011919.88369	485001.31672	133066.9	531744.2	1067210.67	956841.95	7656003	3823064.5	196589.59361	391116.2	2281600.25	14497061.2788	410040.25	656541.87	3202616.75	1856932.5	2338725	204023.75	3257235.25	7239112.15	15693476.25	103292.57666	7320007.5	7952506.2	934791.5	6448891.5	4639101.5	812164.31	8374313.75
K02518	248162	258437	118479.4	224612	41740	3635.8	139827.5	327013.5	144906	381636.87341	3726450	399144.2987	14472.8	304498.65	32616.5	709469.9	62185.83	135792.5	24959.625	172482.6	363003.375	380518.1	476160.5	1905238.55	687402.9	106142	582007.5	135015	446441.55	39360.39	240015	1347539	421578.625	675476	355566	7134	36903.375	281003.375	561904.78369	484125.31672	133065.4	224744.2	434010.67	655841.95	5085003	1623063.75	178149.59361	190116.2	814600.25	7192061.2788	206753.25	300941.87	1602616	1431832.5	1846564	102006.75	1007635.25	3572512.15	7563476.25	102965.37666	3660006.75	2246506.2	411921.5	3443891.5	2767101.5	381104.31	5907313.75
K02519	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K02520	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K02528	382011	868437	222562.8	224615	41741.665	3638.8	322177.5	327016.5	144918.15	381646.05991	4225260	657145.7987	148551.1	461338.65	109648.5	786771.4	192187.33	373794	24960.375	772501.7	363054.45	1331528.7	476166.41	1906758.925	983422.1	106145	2592009	135070.9	1223442.3	40541.89	240018	3707540.5	421579.375	744326	549326	305135.5	36904.125	281004.125	561920.63369	484367.06672	133066.9	420824.2	1082810.67	822061.95	7815003	3824123.75	192601.59361	258116.95	1483795.25	7357062.0288	207041	567421.87	1602617.5	1765663.5	2407964	102024.5	3158068.25	3669119.23	14286066.25	103028.72666	3660008.25	7586509.4	927371.5	6285781.5	3696031.5	807114.07	7730013.75
K02529	715297	1731839	361368.1	1107224	291484.08	24973.6	571577.5	654042	354337.05	2671262.71182	7349042.5	1275500.8961	274211.7	786005.55	186823.5	1311714.3	362988.96	642595.5	168104.25	1313025.9	726111.15	2509879.9	2818076.82	5389552.275	1799944.4	742934	4790740.5	270158.3	2273530.65	59185.58	480052.5	6858533.5	1607007.875	1248174.5	735574.5	613697.5	258308.625	562010.5	1683277.85807	3386144.95016	931427.8	632617.1	2151567.19	867826.15	14322013.5	6390255	47854.78083	444551.6	2983994.25	14946481.5864	432819	922153.09	3218285.75	2949534.5	3088935.5	204053.5	5130144	7336968.86	26043963.75	719505.17998	7320021	11706526.3	1550450.5	9895570.5	5668070.5	1475000.89	13282096.25
K02563	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K02564	327071	411008	128174.3	224615	41741.5	3638.8	155779	327016.5	144907.5	381671.93882	6501760	399148.0974	7419.6	385840.15	30420	965472.9	62419.13	108779	24960.375	122403.2	363004.125	470030.2	476163.5	1905275.225	706299.8	106145	677009	135018	393479.35	54901.19	240018	1316872	421003.75	620727.5	372027.5	7280.5	36904.125	281004.125	561902.25538	484130.25844	133066.9	190586.15	654711.42	514662.7	7821003.75	1742124.5	24355.68722	190128.65	831195.25	7192068.8076	206754.75	355421.87	1602617.5	2256763.5	1821964.75	102008.25	757069	3573566.63	11411466.25	102970.00332	3660008.25	1411010.15	480571.5	4080781.5	3000031.5	598414.07	9012013.75
K02600	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K02601	407282	926837	284479.4	224619.5	41743.915	3643.3	338627.5	327021	144920.4	381648.87341	5051450	673984.2987	160072.8	509498.65	112208.5	863969.9	207505.83	398592.5	24961.5	874882.6	363055.575	1578318.1	476170.91	1906760.05	1033402.9	106149.5	2765607.5	135075.4	1223444.55	44580.39	240022.5	3836339	421580.5	794276	1056566	305140	36905.25	281005.25	561936.48369	484369.31672	133069.15	668544.2	1260010.67	1475841.95	14445003	4479063.75	234049.59361	316516.2	1483603.25	7357064.2788	207043.25	981941.87	1602619.75	2121232.5	3870564	102026.75	3757635.25	3671936.15	15783476.25	103028.57666	3660010.5	10774506.2	1129321.5	7791891.5	5262101.5	906304.31	9321313.75
K02744	92102	53004	54803	37801.5	1.5	81.9	18203	3	12900.75	6592.508	238003	35003	2453	174003	23903	18003	6853	16603	237.375	65103	0.75	26803	3151.5	217000.375	84603	4131.5	288003	4.5	67401.5	11903	4.5	423003	153000.375	72303	65403	3800	0.75	0.75	111000.75	482.375	60.15	14100.75	53900.75	114000.75	310000.75	756000.75	2360.75	42500.75	1.5	52050	3380.75	21200.75	2610.75	86700.75	246000.75	1.5	281000.75	723	241085.5	8590.75	1.5	155000.75	115000.75	271000.75	519000.75	21300.75	148000.75
K02745	92100	53000	54800	1.5	0.75	1.5	18200	1.5	0.75	2.508	238000	35000	2450	174000	23900	18000	6850	16600	0.375	65100	0.375	26800	1.5	0.375	84600	1.5	288000	1.5	67400	11900	1.5	423000	0.375	72300	65400	2620	0.375	0.375	0.75	0.375	0.75	14100	53900	114000	310000	756000	2360	42500	0.75	4650	0.75	21200	0.75	86700	246000	0.75	281000	622	241000	0.75	0.75	155000	115000	271000	519000	21300	148000
K02746	92100	53000	54800	1.5	0.75	1.5	18200	1.5	0.75	2.508	238000	35000	2450	174000	23900	18000	6850	16600	0.375	65100	0.375	26800	1.5	0.375	84600	1.5	288000	1.5	67400	11900	1.5	423000	0.375	72300	65400	2620	0.375	0.375	0.75	0.375	0.75	14100	53900	114000	310000	756000	2360	42500	0.75	4650	0.75	21200	0.75	86700	246000	0.75	281000	622	241000	0.75	0.75	155000	115000	271000	519000	21300	148000
K02747	92100	53000	54800	1.5	0.75	1.5	18200	1.5	0.75	2.508	238000	35000	2450	174000	23900	18000	6850	16600	0.375	65100	0.375	26800	1.5	0.375	84600	1.5	288000	1.5	67400	11900	1.5	423000	0.375	72300	65400	2620	0.375	0.375	0.75	0.375	0.75	14100	53900	114000	310000	756000	2360	42500	0.75	4650	0.75	21200	0.75	86700	246000	0.75	281000	622	241000	0.75	0.75	155000	115000	271000	519000	21300	148000
K02759	92102	53002	54803	187601.5	83200.75	6921.5	18203	4.5	2.25	750002.508	238003	36846	2453	174005.3	23903	18302	6853	16603	46800.375	65103	1.125	26803	740001.5	196400.375	84603	204001.5	288003	4.5	67401.5	11903	4.5	423003	1.125	72303	65403	2623	73800.375	1.125	1782.75	966000.375	266000.75	14101.5	53916.84	114039.4	310001.5	756001.5	2361.5	42501.5	2.25	4651.5	736.75	21202.24	2.25	86701.5	246001.5	2.25	281001.5	635.44	241001.5	188200.75	2.25	155001.5	115001.5	271001.5	519001.5	21367.6	148426
K02760	147602	72402	66403	280601.5	83334.75	7006.4	20823	327004.5	132002.25	750005.808	238137	395846	3563	176255.3	24022	228302	51153	80203	48120.375	65759	363001.125	44303	843001.5	1786400.375	598603	204003	328403	135004.5	393401.5	14723	240004.5	1269003	268001.125	541303	113203	5803	73800.75	281001.125	451782.75	966635.375	266001.5	126101.5	69116.84	251039.4	321001.5	756002.25	6901.5	175501.5	798002.25	7144651.5	203736.75	111802.24	1600002.25	178801.5	246162.5	102002.25	380601.5	3570635.44	1651001.5	188467.75	3660002.25	521001.5	124871.5	436001.5	1464001.5	26427.6	805426
K02761	92117	53025	54825.5	995401.5	374403.75	31463.1	18225.5	21	51607.5	3401362.508	238025.5	43319	2475.5	174035.85	23925.5	19371	6875.5	16625.5	211548.375	65125.5	5.25	26825.5	3342601.5	1751800.375	84625.5	934521.5	288025.5	27	67412.75	11925.5	27	423025.5	612003.75	72325.5	65425.5	7353.5	332101.875	5.25	452019.75	4348928.375	1197238.35	14109.75	53978.78	114180.3	310009.75	756009.75	2369.75	42509.75	10.5	194256.75	16832.75	21213.08	10447.5	86709.75	246009.75	10.5	281009.75	1086.48	241348.75	881260.75	10.5	155009.75	115009.75	271009.75	519009.75	21607.2	149920
K02768	92101	53001	54801.5	93801.5	41600.75	3461.5	18201.5	3	1.5	375002.508	238001.5	35923	2451.5	174002.65	23901.5	18151	6851.5	16601.5	23400.375	65101.5	0.75	26801.5	370001.5	98200.375	84601.5	102001.5	288001.5	3	67400.75	11901.5	3	423001.5	0.75	72301.5	65401.5	2621.5	36900.375	0.75	891.75	483000.375	133000.75	14100.75	53908.42	114019.7	310000.75	756000.75	2360.75	42500.75	1.5	4650.75	368.75	21201.12	1.5	86700.75	246000.75	1.5	281000.75	628.72	241000.75	94100.75	1.5	155000.75	115000.75	271000.75	519000.75	21333.8	148213
K02769	92101	53001	54801.5	93801.5	41600.75	3461.5	18201.5	3	1.5	375002.508	238001.5	35923	2451.5	174002.65	23901.5	18151	6851.5	16601.5	23400.375	65101.5	0.75	26801.5	370001.5	98200.375	84601.5	102001.5	288001.5	3	67400.75	11901.5	3	423001.5	0.75	72301.5	65401.5	2621.5	36900.375	0.75	891.75	483000.375	133000.75	14100.75	53908.42	114019.7	310000.75	756000.75	2360.75	42500.75	1.5	4650.75	368.75	21201.12	1.5	86700.75	246000.75	1.5	281000.75	628.72	241000.75	94100.75	1.5	155000.75	115000.75	271000.75	519000.75	21333.8	148213
K02770	147603	72405	66404.5	224601.5	41735.5	3626.8	20824.5	327004.5	144901.5	381595.808	238138.5	394926	3564.5	176255.65	24023.5	228154	51154.5	80204.5	24957.375	65760.5	363001.125	44304.5	476151.5	1905200.375	598604.5	106133	328404.5	135006	393402.25	14724.5	240006	1269004.5	421000.75	541304.5	113204.5	6981.5	36901.125	281001.125	561891.75	484117.375	133060.9	126101.5	69109.17	251020.45	321001.5	756002.25	6901.5	175501.5	798002.25	7192050.75	206748.75	111801.87	1602611.5	178801.5	246162.5	102002.25	380601.5	3570729.72	1651086.25	102957.75	3660002.25	521001.5	124871.5	436001.5	1464001.5	26394.55	805213.75
K02773	147603	72405	66404.5	224601.5	41735.5	3626.8	20824.5	327004.5	144901.5	381595.808	238138.5	394926	3564.5	176255.65	24023.5	228154	51154.5	80204.5	24957.375	65760.5	363001.125	44304.5	476151.5	1905200.375	598604.5	106133	328404.5	135006	393402.25	14724.5	240006	1269004.5	421000.75	541304.5	113204.5	6981.5	36901.125	281001.125	561891.75	484117.375	133060.9	126101.5	69109.17	251020.45	321001.5	756002.25	6901.5	175501.5	798002.25	7192050.75	206748.75	111801.87	1602611.5	178801.5	246162.5	102002.25	380601.5	3570729.72	1651086.25	102957.75	3660002.25	521001.5	124871.5	436001.5	1464001.5	26394.55	805213.75
K02774	239702	125404	121203	130803	136.25	168.3	39023	327004.5	144901.5	6598.316	476137	429003	6013	350253	47922	246003	58003	96803	1557.75	130859	363001.125	71103	106153	1807000.75	683203	4134.5	616403	135006	460801.5	26623	240006	1692003	421000.75	613603	178603	9600	1.5	281001.125	561001.5	1117.75	61.65	140200.75	123000.75	365000.75	631000.75	1512001.5	9260.75	218000.75	798002.25	7196700	206381.5	133000.75	1602611.5	265500.75	492161.75	102002.25	661600.75	3571345	1892085.5	8858.5	3660002.25	676000.75	239870.75	707000.75	1983000.75	47660.75	953000.75
K02775	147602	72404	66403	130801.5	135.5	166.8	20823	327003	144900.75	6595.808	238137	394003	3563	176253	24022	228003	51153	80203	1557.375	65759	363000.75	44303	106151.5	1807000.375	598603	4133	328403	135004.5	393401.5	14723	240004.5	1269003	421000.375	541303	113203	6980	1.125	281000.75	561000.75	1117.375	60.9	126100.75	69100.75	251000.75	321000.75	756001.5	6900.75	175500.75	798001.5	7192050	206380.75	111800.75	1602610.75	178800.75	246161.75	102001.5	380600.75	3570723	1651085.5	8857.75	3660001.5	521000.75	124870.75	436000.75	1464000.75	26360.75	805000.75
K02777	147603	72405	66404.5	224601.5	41735.5	3626.8	20824.5	327004.5	144901.5	381595.808	238138.5	394926	3564.5	176255.65	24023.5	228154	51154.5	80204.5	24957.375	65760.5	363001.125	44304.5	476151.5	1905200.375	598604.5	106133	328404.5	135006	393402.25	14724.5	240006	1269004.5	421000.75	541304.5	113204.5	6981.5	36901.125	281001.125	561891.75	484117.375	133060.9	126101.5	69109.17	251020.45	321001.5	756002.25	6901.5	175501.5	798002.25	7192050.75	206748.75	111801.87	1602611.5	178801.5	246162.5	102002.25	380601.5	3570729.72	1651086.25	102957.75	3660002.25	521001.5	124871.5	436001.5	1464001.5	26394.55	805213.75
K02779	184202	106004	109603	37803	2.25	83.4	36403	4.5	12901.5	6595.016	476003	70003	4903	348003	47803	36003	13703	33203	237.75	130203	1.125	53603	3153	217000.75	169203	4133	576003	6	134801.5	23803	6	846003	153000.75	144603	130803	6420	1.125	1.125	111001.5	482.75	60.9	28200.75	107800.75	228000.75	620000.75	1512000.75	4720.75	85000.75	2.25	56700	3381.5	42400.75	2611.5	173400.75	492000.75	2.25	562000.75	1345	482085.5	8591.5	2.25	310000.75	230000.75	542000.75	1038000.75	42600.75	296000.75
K02793	258605	111207	89607.5	598201.5	125203.5	10716.6	26067.5	981007.5	408903	1131602.408	238409.5	1114772	5787.5	180760.95	24264.5	648456	139757.5	207407.5	74397.375	67075.5	1089001.875	79307.5	1422151.5	5281600.375	1626607.5	310136	409207.5	405009	1045403.75	20367.5	720009	2961007.5	957001.5	1479307.5	208807.5	13344.5	110701.875	843001.875	1463673.75	1451387.375	399062.4	350103	99526.01	525059.85	343003	756005.25	15983	441503	2394003.75	21472052.25	613484.75	293004.11	4802613	363003	246486	306003.75	579803	10710743.16	4471087.75	291691.75	10980003.75	1253003	144613	766003	3354003	36582.15	2119639.75
K02794	350710	164218	144415	617803	83606.5	7499.3	44275	981012	447603	776374.916	476417	1148858	8245	354767.3	48172	666314	146615	224015	51708.75	132183	1089003	106115	1061603	5834400.75	1711215	220527.5	697215	405018	1112807.5	32275	720018	3384015	1416001.5	1551615	274215	19503	73803.375	843003	1795783.5	969833.75	266241.35	364204.5	153419.84	639042.4	653004.5	1512006.75	18344.5	484004.5	2394006	21618901.5	623257.5	314205.24	4810443	449704.5	492487.5	306006	860804.5	10711661.44	4712343.5	223362.5	10980006	1408004.5	259614.5	1037004.5	3873004.5	57850.6	2267429
K02795	350708	164214	144412	580003	83605.75	7418.9	44272	981010.5	434703	769784.916	476414	1148855	8242	354764.3	48169	666311	146612	224012	51471.75	132180	1089002.625	106112	1058453	5617400.75	1711212	216397.5	697212	405015	1112806	32272	720015	3384012	1263001.5	1551612	274212	18323	73803	843002.625	1684783.5	969351.75	266181.95	364203.75	153419.09	639041.65	653003.75	1512006	18343.75	484003.75	2394005.25	21571501.5	619877.5	314204.49	4807833	449703.75	492486.75	306005.25	860803.75	10711560.44	4712258	214772.5	10980005.25	1408003.75	259613.75	1037003.75	3873003.75	57849.85	2267428.25
K02796	350708	164214	144412	580003	83605.75	7418.9	44272	981010.5	434703	769784.916	476414	1148855	8242	354764.3	48169	666311	146612	224012	51471.75	132180	1089002.625	106112	1058453	5617400.75	1711212	216397.5	697212	405015	1112806	32272	720015	3384012	1263001.5	1551612	274212	18323	73803	843002.625	1684783.5	969351.75	266181.95	364203.75	153419.09	639041.65	653003.75	1512006	18343.75	484003.75	2394005.25	21571501.5	619877.5	314204.49	4807833	449703.75	492486.75	306005.25	860803.75	10711560.44	4712258	214772.5	10980005.25	1408003.75	259613.75	1037003.75	3873003.75	57849.85	2267428.25
K02821	317200	668000	213600	4.5	2.415	4.5	209400	4.5	12.9	11.016	973000	328000	138900	503000	124800	113300	143700	271200	1.125	730200	51.45	1004600	7.41	1520.75	465200	4.5	2586000	57.4	911800	24980	4.5	3206000	1.125	211800	315800	303240	1.125	1.125	16.6	241.75	2.25	223200	725800	392000	3180000	3712000	18620	153000	669001.5	174300	288.5	307400	2.25	506400	984000	18.5	2712000	97844	7202000	61.7	2.25	5650000	743000	3382000	1965000	468600	2106000
K02822	317200	668000	213600	4.5	2.415	4.5	209400	4.5	12.9	11.016	973000	328000	138900	503000	124800	113300	143700	271200	1.125	730200	51.45	1004600	7.41	1520.75	465200	4.5	2586000	57.4	911800	24980	4.5	3206000	1.125	211800	315800	303240	1.125	1.125	16.6	241.75	2.25	223200	725800	392000	3180000	3712000	18620	153000	669001.5	174300	288.5	307400	2.25	506400	984000	18.5	2712000	97844	7202000	61.7	2.25	5650000	743000	3382000	1965000	468600	2106000
K02823	325659	801032	210874.9	13.5	6.165	12	310203	12	16.65	49.57341	4223311.5	297218.2987	147358.3	457243	109493	576615.9	147881.33	310188	3	771822.1	53.325	1314013.6	14.91	1558.55	469398.4	12	2551603	64.9	897439.3	37715.89	12	2861534.5	578.625	273671.5	492761.5	300772.5	3	3	28.88369	249.31672	6	307742.7	1036801.5	682821.5	7634001.5	3823061.5	187508.09361	125114.7	685598.75	169660.5288	292.25	475340	6	1672731	2338401.5	22.25	3058033.75	99004.43	12873390	68.57666	6	7220504.7	915050	6118890	2749100	802009.76	7060100
K02824	225332	231836	102977.9	224609	41738.5	3632.8	133376	327010.5	144904.5	381631.0945	549450	394932.7987	11571.3	291997.15	31967	331169.9	54705.83	118792.5	24958.875	146881.1	363002.625	318816.6	476157.5	1905237.8	627402.9	106139	482707.5	135012	446440.05	18850.39	240012	1315337.5	421577.875	662574.5	226564.5	7131	36902.625	281002.625	561899.88369	484123.81672	133063.9	162543.45	382009.92	491841.2	3385002.25	1459063	164999.59361	175515.45	814598.75	7192059.7788	206751.75	173341.87	1602614.5	365732.5	1463563.25	102005.25	857634.5	3570995.15	2618476.25	102963.87666	3660005.25	1449505.45	284021.5	1686891.5	2059101.5	119304.31	1956313.75
K02825	159472	102432	89493	280604.5	83336.25	7009.4	75573	327007.5	132003.75	750008.808	698137	400057.5	13993	205955.3	29740	350602	58463	124603	48121.125	156959	363001.875	198503	843004.5	1786401.125	639803	204006	429403	135007.5	446402.25	19773	240007.5	1339703	268577.5	640203	289603	5806	73801.5	281001.875	451792.231	966636.875	266003	223601.5	167216.84	606039.4	2185001.5	1212002.25	174401.5	190102.25	798003.75	7144653	203738.25	228702.24	1600003.75	431901.5	1250162.5	102003.75	884601.5	3571352.04	2839001.5	188469.25	3660003.75	2200001.5	252471.5	1719001.5	2192001.5	100027.6	1977426
K02834	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K02835	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K02836	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K02838	381162	820437	222479.4	224613.5	41740.915	3637.3	312827.5	327015	144917.4	381642.87341	4223450	657144.2987	148472.8	459498.65	109616.5	786769.9	192185.83	373792.5	24960	772482.6	363054.075	1331518.1	476164.91	1906758.55	983402.9	106143.5	2592007.5	135069.4	1223441.55	40540.39	240016.5	3707539	421579	742676	540566	305134	36903.75	281003.75	561919.88369	484366.31672	133066.15	419744.2	1052010.67	819841.95	7645003	3823063.75	192049.59361	258116.2	1483600.25	7357061.2788	207040.25	565941.87	1602616.75	1764832.5	2338564	102023.75	3157635.25	3669112.15	14283476.25	103025.57666	3660007.5	7586506.2	924921.5	6283891.5	3694101.5	807104.31	7717313.75
K02851	292473	664435	193494.5	224606	41737.915	3631.3	248574.5	327009	144914.4	381604.808	1195138.5	657137.5	147994.5	360955.65	106741.5	427754	188464.5	362604.5	24958.5	756960.5	363052.575	1149504.5	476158.91	1906721.125	935804.5	106137.5	2439404.5	135063.4	1223403	20954.5	240010.5	3699704.5	421577.5	707404.5	474604.5	304984.5	36902.25	281002.25	561916.331	484359.875	133063.15	418601.5	785209.17	770020.45	4745001.5	3412002.25	188301.5	258102.25	1467003.75	7357052.25	207037.25	493701.87	1602613.75	764901.5	1742162.5	102020.75	3034601.5	3668046.32	9559086.25	103019.45	3660004.5	7540001.5	765471.5	4559001.5	3119001.5	525994.55	3787213.75
K02860	380313	772437	222396	224612	41740.165	3635.8	303477.5	327013.5	144916.65	381639.68691	4221640	657142.7987	148394.5	457658.65	109584.5	786768.4	192184.33	373791	24959.625	772463.5	363053.7	1331507.5	476163.41	1906758.175	983383.7	106142	2592006	135067.9	1223440.8	40538.89	240015	3707537.5	421578.625	741026	531806	305132.5	36903.375	281003.375	561919.13369	484365.56672	133065.4	418664.2	1021210.67	817621.95	7475003	3822003.75	191497.59361	258115.45	1483405.25	7357060.5288	207039.5	564461.87	1602616	1764001.5	2269164	102023	3157202.25	3669105.07	14280886.25	103022.42666	3660006.75	7586503	922471.5	6282001.5	3692171.5	807094.55	7704613.75
