KO	123_baseline	127_baseline	233_baseline	257_baseline	257_follow.up	293_baseline	362_baseline	363_baseline	363_follow.up	369_baseline	372_baseline	392_baseline	393_baseline	407_baseline	407_follow.up	415_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	454_baseline	454_follow.up	457_baseline	490_baseline	490_follow.up	499_baseline	500_baseline	500_follow.up	505_baseline	510_baseline	510_follow.up	512_baseline	516_baseline	518_baseline	518_follow.up	520_baseline	526_baseline	1284_baseline	1289_baseline	1290_baseline	1292_baseline	1294_baseline	1296_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1310_baseline	1314_baseline	1316_baseline	1318_baseline	1320_baseline	1322_baseline	1324_baseline	1326_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1356_baseline	1358_baseline
K03522	132019	295862	121664.9	18	8.25	16.5	193103	16.5	8.25	48.56541	4569311.5	21059.7987	30038.3	195443	16255	661515.9	29831.33	118588	4.125	274722.1	4.125	675513.6	16.5	40.05	167498.4	16.5	484803	16.5	106042.3	32715.89	16.5	245834.5	1155.375	271771.5	805761.5	160	4.125	4.125	34.96469	11.69172	8.25	382742.7	619001.5	1251821.5	11728001.5	1815061.5	370248.09361	73015.45	16601.75	14.2788	8.25	618040	8.25	1773431	3753401.5	8.25	1581033.75	4617.03	8225390	11.37666	8.25	5795504.7	567950	5421890	3207100	502709.76	7477100
K03530	399382	896841	169468.8	318418	83343.165	7101.8	352433.5	327021	144920.4	756683.98864	12746761.5	618865.5974	143604.1	371545.8	87946.5	1826623.9	192520.63	383780.5	48361.125	697307.7	363055.575	1425034.7	846169.41	2004995.6	1028901.3	208148	2525010.5	135075.4	1156080.85	86212.69	240022.5	3260176.5	421580.5	688732	410032	302665	73804.875	281005.25	562810.28638	967372.38344	266068.4	344588.4	1212921.34	591683.9	8535006	3314126.75	187696.43722	201031.65	1500196.75	7352421.0576	207410.5	555322.99	1602619.75	4531964.25	2305967	102026.75	2830071.25	3670477.95	27468467	197130.95332	3660010.5	6681012.4	1057572.25	9938782.25	3984032.25	1501147.87	18144226.75
K03555	149532	178837	48179.4	224609	41738.5	3632.8	115177.5	327010.5	144904.5	381632.86541	3281450	359934.2987	9122.8	117998.65	8068.5	672169.9	51505.83	112992.5	24958.875	81782.6	363002.625	292018.1	476157.5	1905237.8	590302.9	106139	250607.5	135012	379040.8	26450.39	240012	892339	421577.875	590276	161166	4512.5	36902.625	281002.625	561899.88369	484124.19172	133063.9	148444.2	328110.67	377841.95	3075003	703063.75	165289.59361	133016.2	814598.75	7187410.5288	206751.75	175741.87	1602614.5	1256032.5	1217564	102005.25	576635.25	3571184.15	6947476.25	102963.87666	3660005.25	1294506.2	245821.5	2795891.5	1856101.5	335004.31	5358313.75
K03572	149532	178837	48179.4	224609	41738.5	3632.8	115177.5	327010.5	144904.5	381632.86541	3281450	359934.2987	9122.8	117998.65	8068.5	672169.9	51505.83	112992.5	24958.875	81782.6	363002.625	292018.1	476157.5	1905237.8	590302.9	106139	250607.5	135012	379040.8	26450.39	240012	892339	421577.875	590276	161166	4512.5	36902.625	281002.625	561899.88369	484124.19172	133063.9	148444.2	328110.67	377841.95	3075003	703063.75	165289.59361	133016.2	814598.75	7187410.5288	206751.75	175741.87	1602614.5	1256032.5	1217564	102005.25	576635.25	3571184.15	6947476.25	102963.87666	3660005.25	1294506.2	245821.5	2795891.5	1856101.5	335004.31	5358313.75
K03612	16310	30031	34790	6	2.25	4.5	54751.5	4.5	2.25	4.5	460001.5	4213	10431.5	29701.5	5719.5	122312.9	7318.03	44401.5	1.125	91201.5	1.125	154201.5	4.5	1.125	41201.5	4.5	101001.5	4.5	53001.5	5055.09	4.5	70701.5	576.75	102920	178500	4.5	1.125	1.125	10.231	2.25	2.25	97500.75	98100.75	355000.75	1864000.75	456000.75	168042	14601.5	2.25	2.25	2.25	121760	2.25	264100	1004000.75	2.25	523600	717.35	1251400	2.25	2.25	1679000.75	141900	1465000	734170	88600	1226400
K03613	16310	30031	34790	6	2.25	4.5	54751.5	4.5	2.25	4.5	460001.5	4213	10431.5	29701.5	5719.5	122312.9	7318.03	44401.5	1.125	91201.5	1.125	154201.5	4.5	1.125	41201.5	4.5	101001.5	4.5	53001.5	5055.09	4.5	70701.5	576.75	102920	178500	4.5	1.125	1.125	10.231	2.25	2.25	97500.75	98100.75	355000.75	1864000.75	456000.75	168042	14601.5	2.25	2.25	2.25	121760	2.25	264100	1004000.75	2.25	523600	717.35	1251400	2.25	2.25	1679000.75	141900	1465000	734170	88600	1226400
K03614	16310	30031	34790	6	2.25	4.5	54751.5	4.5	2.25	4.5	460001.5	4213	10431.5	29701.5	5719.5	122312.9	7318.03	44401.5	1.125	91201.5	1.125	154201.5	4.5	1.125	41201.5	4.5	101001.5	4.5	53001.5	5055.09	4.5	70701.5	576.75	102920	178500	4.5	1.125	1.125	10.231	2.25	2.25	97500.75	98100.75	355000.75	1864000.75	456000.75	168042	14601.5	2.25	2.25	2.25	121760	2.25	264100	1004000.75	2.25	523600	717.35	1251400	2.25	2.25	1679000.75	141900	1465000	734170	88600	1226400
K03615	16310	30031	34790	6	2.25	4.5	54751.5	4.5	2.25	4.5	460001.5	4213	10431.5	29701.5	5719.5	122312.9	7318.03	44401.5	1.125	91201.5	1.125	154201.5	4.5	1.125	41201.5	4.5	101001.5	4.5	53001.5	5055.09	4.5	70701.5	576.75	102920	178500	4.5	1.125	1.125	10.231	2.25	2.25	97500.75	98100.75	355000.75	1864000.75	456000.75	168042	14601.5	2.25	2.25	2.25	121760	2.25	264100	1004000.75	2.25	523600	717.35	1251400	2.25	2.25	1679000.75	141900	1465000	734170	88600	1226400
K03617	16310	30031	34790	6	2.25	4.5	54751.5	4.5	2.25	4.5	460001.5	4213	10431.5	29701.5	5719.5	122312.9	7318.03	44401.5	1.125	91201.5	1.125	154201.5	4.5	1.125	41201.5	4.5	101001.5	4.5	53001.5	5055.09	4.5	70701.5	576.75	102920	178500	4.5	1.125	1.125	10.231	2.25	2.25	97500.75	98100.75	355000.75	1864000.75	456000.75	168042	14601.5	2.25	2.25	2.25	121760	2.25	264100	1004000.75	2.25	523600	717.35	1251400	2.25	2.25	1679000.75	141900	1465000	734170	88600	1226400
K03630	133232	178836	48177.9	224607.5	41737.75	3631.3	115176	327009	144903.75	381628.5865	311450	359932.7987	9121.3	117997.15	8067	313169.9	47855.83	102192.5	24958.5	81781.1	363002.25	292016.6	476156	1905237.425	542802.9	106137.5	194707.5	135010.5	379040.05	6950.39	240010.5	892337.5	421577.5	590274.5	161164.5	4511	36902.25	281002.25	561899.13369	484123.44172	133063.15	148443.45	328109.92	377841.2	3075002.25	703063	162639.59361	133015.45	814598	7187409.7788	206751	152141.87	1602613.75	279032.5	1217563.25	102004.5	576634.5	3570373.15	2377476.25	102963.12666	3660004.5	1294505.45	169021.5	1415891.5	1540101.5	98004.31	1808313.75
