Cef2dayrec21	Cef2dayrec22	Cef2dayrec23	Cef2dayrec25	Cef2dayrec26	Cef2dayrec27	Cef6wkrec13	Cef6wkrec14	Cef6wkrec15	Cef6wkrec16	Cef6wkrec17	Cef6wkrec18	Cef6wkrec19	Cef6wkrec20	NoAbx29	NoAbx30	NoAbx31	NoAbx32	NoAbx33	NoAbx34	NoAbx35	NoAbx36	NoAbx6wk37	NoAbx6wk38	NoAbx6wk39	NoAbx6wk40	NoAbx6wk41	NoAbx6wk42	NoAbx6wk43	NoAbx6wk44	KEGG
0.6126	0.7416	0.5001	0.717	0.6108	0.5658	1.8146	1.1484	0.8181	3.0342	0.6732	1.3731	2.1273	1.9514	1.6202	0.8266	1.1053	1.2055	1.9814	2.7848	1.3887	2.6359	0.4677	1.0483	0.2673	0.7235	0.9517	1.3713	0.6108	2.0144	C00315
9.0306	8.3664	8.3898	5.8494	6.7281	9.2751	2.6924	3.0141	2.555	2.3911	3.1143	3.1807	2.2552	1.8074	0.1326	0.1345	0.0847	0.1321	0.0982	0.1621	0.1493	0.1926	0.1349	0.069	0.0639	0.0609	0.1139	0.0562	0.1333	0.108	C00791
0.6846	2.8866	0.606	0.7326	0.4992	0.4332	3.1207	2.211	0.701	0.8581	0.6692	1.098	3.7294	3.7241	1.1551	1.2169	0.9377	0.9574	1.1766	1.2354	1.36	1.4677	1.0195	0.7841	0.6788	1.0538	0.9805	1.0745	1.1221	1.9443	C00475
85.2747	16.0404	65.5926	54.4719	44.5302	63.1755	0.7252	1.2076	0.6767	1.4049	0.8236	0.9358	0.6048	0.7958	0.5885	0.7843	0.7777	0.7135	0.6088	0.8609	1.0642	2.0801	1.0825	0.8122	1.1367	0.8877	0.475	0.7931	1.2936	1.3656	C00186
3.6786	1.1559	2.862	1.7487	3.0699	0.9999	0.3333	0.5396	0.8827	1	0.7706	0.8898	0.5775	0.3896	3.5605	3.3502	2.801	2.1406	1.4024	1.6741	2.5828	1.9686	1.0987	1.0768	0.4364	1.2778	0.6993	0.758	2.3657	1.5054	C00239
0.8004	0.8004	0.8004	0.8004	0.8004	0.8004	22.6608	13.4537	2.9896	4.3154	0.3391	0.4761	7.3464	9.1103	0.3039	0.5854	0.6242	0.51	0.8139	1.5625	1.0502	0.6331	0.2668	1.859	1.2621	1.9704	0.5712	0.4883	2.6351	0.9498	C00642
0.9705	0.9186	1.6959	2.4264	1.4613	1.2186	0.3263	0.3286	0.2421	0.609	0.3138	0.3488	0.5142	0.5353	9.9735	6.1283	36.5633	17.9672	1.5566	20.9818	4.0056	1.4384	11.9087	5.2496	4.1332	2.2974	1.035	3.6307	16.1625	8.5344	C00147
0.6387	1.428	0.8493	1.2897	0.7521	1.3215	0.7698	0.6216	0.4106	0.4747	0.5045	0.7182	0.6767	0.9887	2.1839	2.5484	5.416	2.7216	1.8543	4.3866	6.6424	1.0113	3.3262	2.2952	2.2698	1.9425	1.8727	2.8918	6.9594	4.05	C00212
1.0266	1.0266	1.0266	1.0266	1.0266	1.0266	1.9511	0.9979	0.6109	0.6221	1.082	0.7632	0.7677	0.6059	1.4418	1.0057	1.3233	1.1829	1.4662	1.2116	1.0266	1.8493	0.3422	1.0021	0.4981	0.8273	1.1501	0.7521	0.447	0.9029	C00166
2.2425	48.2061	2.4582	2.2425	2.2425	25.6887	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	0.7475	C00243
