p6z2tr4	p6z1tr66	p6z1tr67	p6z1tr12	p6z2tr68	p6z1tr19	p6z1tr23	p6z1tr40	p7z2tr51	j22tr52	j22tr22	j22tr53	j22tr54	j22tr55	j22tr57	j22tr23	j31tr4	j22tr63	j31tr7	j31tr48	j26tr8	j26tr9	j26tr10	j31tr11	j26tr65	j26tr24	j26tr26	j26tr27	j26tr28	j31tr29	j31tr31	j31tr32	j31tr33	j31tr52	j31tr34	j31tr53	j31tr55	j31tr56	j31tr57	j31tr58	j31tr59	j31tr60	j22tr26	j31tr61	j31tr62	j31tr63	j22tr27	j31tr64	j31tr65	j31tr66	p6z1tr24	p6z2tr44	p6z2tr63	j56tr68	j56tr69	j56tr70	j56tr71	j56tr72	j56tr73	j56tr74	j56tr75	j56tr76	j56tr77	j56tr78	j56tr48	j56tr49	j56tr51	j56tr52	j56tr53	j56tr27	KEGG
24619	1213	19360	11507	100825	3937	3472	9555	8437	48861	13808	3402	NA	13915	NA	18896	63013	8179	99638	3525	16398	39332	62716	8690	41332	19991	35993	NA	61024	6721	18069	NA	33220	688564	2803	175459	5649	NA	169091	7891	27645	13053	10730	70267	2376	39199	7378	NA	18084	NA	3850	91854	13309	26095	16368	9373	11878	27897	14965	56235	32739	9319	45292	47296	85661	68975	27593	14269	28617	15405	C00299
626391	72113	388941	718987	218721	111703	192991	459183	677422	769815	352948	234952	78608	1548416	149825	440937	1060535	2141633	1248565	299368	375751	946605	1039071	402382	941035	324499	658473	68261	1839572	702851	616621	196444	1530668	5154971	76785	320400	484525	97859	7386773	530289	119999	777870	213281	1193358	152396	792985	1055136	96397	502770	145471	276051	4210294	234154	1699077	257801	154919	285603	677043	512318	573529	448516	190377	1370944	1243166	1691031	5531857	96205	175163	770683	159682	C00212
74115	447135	193694	173125	376981	21936	229820	32648	11758	304388	119606	43311	4007	283901	68181	20779	35894	248424	718951	154577	163274	29326	83393	61227	90477	130552	97791	41894	167709	73490	48468	58494	249330	19762793	12953	75431	88411	57241	1327838	NA	258705	59004	23718	79446	24291	35480	78924	21580	58728	9249	105945	174122	60594	62580	100019	129760	42362	696222	9254	79385	157371	49698	158542	31208	95088	261155	82689	75512	21922	84265	C02494
9759	NA	20927	15292	168207	NA	NA	4421	6611	8928	4231	NA	NA	14031	NA	3603	20848	13804	154319	5703	NA	6966	26963	2312	16808	5634	15354	NA	16594	8557	7436	NA	60082	503513	NA	113691	2419	NA	148447	3835	11812	14766	4725	39801	NA	9864	8434	NA	2932	NA	NA	72683	NA	26099	3545	6646	10148	18309	8454	17681	4024	3375	25551	55214	16598	52490	24038	14335	12524	1759	C00387
2564159	NA	295225	1060851	4019399	1367076	136304	7650566	7081845	13607471	4089814	96924	72299	276919	817259	14375341	1027146	1202648	2712021	881569	8658958	885779	277858	611116	6742420	2079837	10291331	69398	NA	667224	1036679	620144	108376	6008576	455471	557929	586197	1668907	61647	324157	1249025	740697	506939	1232929	93564	439437	219174	46376	300766	167863	146750	171511	6604415	497823	5429629	866839	266003	NA	3651253	NA	NA	895331	NA	719892	NA	NA	476890	134030	3710460	9092697	C00106
6339886	234740	510073	6193111	292394	2400613	999063	11745655	10627789	4169247	917248	1480336	552586	1774601	777538	7529614	1222897	2851360	3309224	165527	3450654	3451789	1011638	759709	848423	1582137	5268554	187452	5334971	3684808	6791982	1484817	911434	5816607	527134	1144422	1098405	680410	12275901	3860923	1873067	2084728	2606742	820503	2237470	2312823	635065	828741	3658922	7021727	1762631	4061700	3952507	3016791	2874893	498967	306509	5376405	12331272	1109125	1947953	3183314	1576301	2358407	4356599	20465744	230667	85775	12345618	23393185	C00147
4899351	4883037	3650923	11063568	20671872	3130337	6181968	16293458	7801438	28139615	3533572	2550811	1040102	15193181	4715420	15867758	2158633	26364543	28555691	2286104	34486485	2129144	2652265	3183219	7260982	9099338	16924020	1187781	4798580	21059270	3306086	4511910	3201697	93890651	2825711	20311114	3447351	4124937	79054537	1454869	23696896	9202830	3982852	2192517	4468255	2017075	2165896	2007624	5957004	7412954	9007993	11374101	10825560	21006966	22318443	8404261	4204459	7730216	5391687	11400129	44111517	20961650	3974715	10446056	10138019	59627441	6204608	4398735	11691064	50304318	C00262
7947183	426172	1124299	12391475	1488832	9073140	2314273	29344117	24454605	30494510	8883005	6334436	5389573	4823975	5476205	44687902	9710424	9687018	5065671	1377030	13404410	7398621	1178319	9319862	3927573	19269031	38150693	253522	12057	754185	9792839	6549314	376297	3596376	4718525	14879627	8497046	15093065	5072023	876400	826185	1116894	14361735	12530504	1744754	753535	377489	257337	10984836	1587981	2591949	624188	19050580	585550	19439288	1076997	420496	866192	12180324	69037	1475702	699178	303255	1662783	33968	2353714	104533	216264	12820950	39619839	C07599
721115	738514	582208	647376	667408	564329	545431	1023978	737540	907162	645381	782149	714116	779799	428961	794035	799365	693842	617562	928209	1077743	1910082	749677	668563	966546	597972	630031	895851	915514	940581	576676	367640	238610	397730	573606	903181	785729	1093152	735746	903127	874190	645557	781971	652357	603480	814529	865164	577572	513177	876735	564340	490624	900588	902043	474280	601923	708799	593041	714312	970243	737277	1000843	554882	878639	861720	769274	814849	848546	934812	1020920	C00385
NA	68350	85558	179454	14657	5741	45353	112995	22922	31366	14138	70638	17203	41382	17278	21152	43691	75094	92336	37959	16290	89954	82797	58482	19987	27993	73114	10253	24748	36908	72894	37610	19108	230059	11741	40842	52265	NA	374170	24625	24901	NA	54650	24770	88766	96971	49504	54088	26143	67866	192357	18109	14104	45790	178825	42992	25201	98178	23120	58590	63545	16908	54589	31392	194450	117085	NA	NA	183941	233799	C01551
