123_baseline	127_baseline	233_baseline	257_baseline	257_follow.up	293_baseline	362_baseline	363_baseline	363_follow.up	369_baseline	372_baseline	392_baseline	393_baseline	407_baseline	407_follow.up	415_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	454_baseline	454_follow.up	457_baseline	490_baseline	490_follow.up	499_baseline	500_baseline	500_follow.up	505_baseline	510_baseline	510_follow.up	512_baseline	516_baseline	518_baseline	518_follow.up	520_baseline	526_baseline	1284_baseline	1289_baseline	1290_baseline	1292_baseline	1294_baseline	1296_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1310_baseline	1314_baseline	1316_baseline	1318_baseline	1320_baseline	1322_baseline	1324_baseline	1326_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1356_baseline	1358_baseline	KEGG
1.519473	0.449279	0.481255	0.97325	1.004758	2.26431	3.407025	2.697361	1.982798	3.067913	0.660855	0.850361	0.550974	1.260568	1.504999	0.385742	2.117861	0.832824	1.100386	1.586038	0.496237	1.077478	4.494605	1.073707	0.843917	2.966928	0.943146	1.16965	2.342784	0.363327	0.418731	1.22946	0.921311	5.231235	1.257663	0.442789	0.51442	0.995242	24.703129	1.190949	16.293739	0.076147	0.054479	2.767578	0.330491	2.159904	0.609856	0.859648	0.164139	0.767626	3.207855	2.45496	0.454651	1.219675	2.876585	2.374571	2.200695	0.841988	0.054479	6.834099	1.86468	0.752787	0.093915	0.50704	0.122184	0.922522	0.242392	C00086
1.084353	0.205543	0.175548	0.175548	0.204317	3.211367	1.240649	1.765817	4.373883	1.674549	1.813204	0.268195	0.819097	0.292506	1.895721	0.175548	0.175548	0.563684	0.341288	1.237577	0.175548	1.702092	4.11991	0.175548	1.19447	2.972915	1.957986	0.981407	2.493531	0.175548	0.798511	3.100013	0.187232	0.399237	0.878748	1.766975	0.175548	0.35145	9.26582	0.385322	2.196018	0.494259	0.175548	0.175548	0.790916	1.737183	0.175548	1.215003	0.175548	0.720623	1.862651	0.745914	0.966777	0.54662	1.509289	2.085866	0.175548	1	0.454913	3.853275	0.175548	0.516913	0.433589	0.175548	0.175548	0.559345	0.175548	C00090
0.821393	0.120162	0.120162	3.470039	1.167924	1.189748	2.959601	5.509114	5.587845	3.919631	0.811622	4.192207	0.264496	1.014832	0.91328	0.225353	0.502704	0.593764	1.165197	0.469445	0.616599	0.561102	2.909798	4.815685	0.958641	16.288054	2.97967	0.35288	1.094362	0.30361	0.120162	0.186311	0.714858	1.006831	1.661448	0.904184	0.265493	23.715008	4.684384	1.020451	2.073206	0.5385	1.899342	0.997165	0.319809	1.054464	1	0.417538	0.120162	7.618809	3.083315	0.738259	1.014012	0.462195	1.313316	0.550624	0.699	3.777353	0.326839	2.187581	0.977661	0.166293	0.120162	0.120162	3.161876	0.647436	0.120162	C00093
0.159986	0.159986	0.574778	5.471188	1	1.801886	0.989705	3.950177	2.229524	1.844141	1.389823	0.749574	0.159986	0.159986	1.092572	0.159986	0.413621	0.159986	0.851287	0.233731	0.159986	0.159986	2.789549	1.626348	0.550972	35.642727	2.252462	0.595316	1.554226	0.214925	0.159986	0.159986	1.355574	0.159986	0.35422	0.591226	0.159986	0.893585	5.995553	1.407088	0.159986	0.159986	0.230083	0.739407	0.159986	0.672624	0.159986	1.084515	0.915485	0.467666	2.919834	0.159986	0.159986	0.167433	0.159986	0.504759	0.159986	1.865916	2.633361	3.367707	0.159986	0.159986	0.181722	0.159986	0.159986	0.159986	1.577425	C00095
0.108881	0.108881	0.108881	14.027987	9.155813	1.952315	0.431804	12.439567	7.675146	16.576571	0.432525	0.285231	0.108881	0.249502	0.108881	0.108881	0.20701	0.128354	2.4794	0.144915	0.298145	0.659212	26.6066	11.628082	0.108881	286.272644	1	1.658272	3.176348	0.108881	0.108881	0.583997	2.307291	0.373433	0.280153	0.621886	0.572758	67.259117	33.350986	8.592136	16.758673	0.630069	0.108881	0.847284	0.108881	0.805937	0.85091	0.108881	0.108881	54.590878	34.911198	1.53273	0.55503	0.303102	1.066557	2.299602	1	1.398629	0.108881	36.547897	0.986759	0.420121	0.108881	0.369096	3.440307	0.514766	0.66115	C00097
0.132392	0.998051	0.132392	1.463773	0.243692	0.45088	1.335298	1.259434	0.832068	1.189886	3.953956	2.205814	0.132392	1.213027	0.340138	0.24457	1.706544	0.431842	0.344674	0.132392	0.518676	0.445608	0.573298	0.844877	0.132392	4.463188	3.388227	1.001949	0.654071	0.59322	0.319977	0.132392	0.174923	0.465566	5.393713	0.132392	0.132392	2.672526	1.681743	0.816861	0.756735	1.695183	2.150583	2.247207	0.132392	0.911574	1.410311	1	0.397521	1.247967	0.619997	2.130487	1.999907	2.098192	1.022816	0.132392	1.025853	0.607083	3.239354	0.647598	0.520265	0.58024	0.132392	0.790834	2.377694	0.530261	2.177805	C00099
1.116996	0.284265	0.833338	0.058958	0.187861	0.135018	1.182521	0.150133	6.49263	0.162117	7.632287	3.206395	0.282754	2.573215	1.146228	0.176458	1.804232	0.221241	0.058958	0.058958	0.318828	0.928525	0.058958	2.926086	0.419164	0.068232	21.720013	2.091604	0.058958	0.599607	0.203959	0.058958	0.883004	0.058958	4.457227	2.728547	0.058958	40.868587	2.143915	0.058958	0.144685	0.374385	1.779544	1.222126	0.082949	0.15314	1.876937	0.771088	2.300068	1.807664	1.071475	0.384764	0.624271	0.43194	0.901396	0.058958	0.360639	3.073074	1.973809	0.058958	0.379146	0.327612	1.281329	1.122222	3.564506	1.228205	1.858298	C00106
0.687806	1.190426	0.739542	1.789786	1.917684	2.403219	1.082406	0.7225	3.354146	1.180366	0.784862	6.485073	0.784894	0.705426	0.602735	0.498063	0.67735	0.66222	0.837311	0.712985	0.411406	0.955686	0.275336	2.782797	0.798903	3.145756	1.932446	0.943487	1.204537	0.825372	1.107988	0.752679	2.343751	0.900359	1.225173	1.830976	0.616406	21.626215	2.610982	0.909177	3.316094	0.817454	0.911792	1.060019	0.471016	0.881236	0.722282	3.841565	1.004995	4.785479	3.456745	1	0.758458	0.837997	1.3119	0.384561	0.629138	3.812832	1.548603	2.018509	1.20325	1.138746	0.604753	0.267999	6.135845	1.523432	2.025131	C00116
1.054272	0.319973	0.079481	1.573243	1.349531	0.542795	2.139318	4.537441	2.872113	4.376241	12.257186	6.099567	0.079481	3.802359	0.861037	0.079481	1.588356	0.21206	0.559063	0.597457	0.183152	1.894727	6.604053	3.326799	1.016636	12.762517	28.417871	2.787313	0.945728	0.520131	0.094241	0.154973	0.432006	0.235576	0.647989	0.783022	0.199612	14.320931	1.253818	1.364946	3.544707	0.392129	0.983364	0.888828	0.079481	0.112492	1.361642	1.646214	0.261267	0.925971	0.707617	0.079481	0.205462	0.079481	1.666947	0.941984	0.374325	1.509245	5.837437	1.376896	0.563736	0.858871	0.174374	0.079481	7.567894	0.079481	0.079481	C00121
1.010717	0.709928	1.01774	1.493554	0.632646	0.526075	1.849458	1.813877	1.286277	2.165624	3.465353	0.989283	0.575044	1.803488	1.015484	0.304544	0.799404	0.417675	0.684956	0.492324	0.467327	1.223814	2.490887	2.083484	1.643162	5.068184	2.792058	1.253343	1.121924	0.52149	0.275071	0.450183	0.836667	0.360553	1.738962	0.537561	0.275071	5.233449	1	1.152101	0.685422	0.929794	1.402012	2.805755	0.487139	1.089702	1.934577	0.696387	0.517737	1.512449	1.951036	0.927043	0.275071	0.411449	1.267928	0.595932	0.58919	1.785367	4.455388	2.26924	1.227785	0.771061	0.432135	0.613835	4.34801	0.930984	0.931818	C00122
