LBNL_CC002_M_18	LBNL_CC004_F_23	LBNL_CC004_M_24	LBNL_CC008_F_21	LBNL_CC008_M_22	LBNL_CC010_F_15	LBNL_CC010_M_16	LBNL_CC011_F_25	LBNL_CC011_M_26	LBNL_CC013_F_45	LBNL_CC013_M_46	LBNL_CC026_F_53	LBNL_CC028_F_31	LBNL_CC030_F_43	LBNL_CC030_M_44	LBNL_CC032_F_29	LBNL_CC032_M_30	LBNL_CC033_F_33	LBNL_CC033_M_34	LBNL_CC036_F_35	LBNL_CC036_M_36	LBNL_CC037_F_13	LBNL_CC037_M_14	LBNL_CC038_F_47	LBNL_CC038_M_48	LBNL_CC039_F_11	LBNL_CC050_F_41	LBNL_CC051_F_1	LBNL_CC051_M_2	LBNL_CC052_F_39	LBNL_CC055_M_6	LBNL_CC057_F_49	LBNL_CC061_F_51	LBNL_CC061_M_52	LBNL_CC065_F_9	LBNL_CC065_M_10	UNC_CC002_F_4	UNC_CC002_M_3	UNC_CC004_F_6	UNC_CC004_M_5	UNC_CC008_F_8	UNC_CC008_M_7	UNC_CC010_M_9	UNC_CC011_F_12	UNC_CC011_M_11	UNC_CC013_M_13	UNC_CC016_F_16	UNC_CC016_M_15	UNC_CC021_F_20	UNC_CC021_M_19	UNC_CC026_F_22	UNC_CC026_M_21	UNC_CC028_F_24	UNC_CC028_M_23	UNC_CC030_F_26	UNC_CC030_M_25	UNC_CC032_F_28	UNC_CC032_M_27	UNC_CC033_F_30	UNC_CC033_M_29	UNC_CC036_F_32	UNC_CC036_M_31	UNC_CC037_F_34	UNC_CC037_M_33	UNC_CC038_F_36	UNC_CC038_M_35	UNC_CC039_M_37	UNC_CC050_F_46	UNC_CC050_M_45	UNC_CC051_F_48	UNC_CC051_M_47	UNC_CC052_F_50	UNC_CC052_M_49	UNC_CC061_F_58	UNC_CC061_M_57	UNC_CC065_F_60	UNC_CC065_M_59	KEGG
4292999	26886965	5184961	7621974	5116136	23603505	10791663	3360547	3987020	28923286	10355310	7362599	17741723	141172045	6115244	4298240	7329523	1875785	4049016	2804579	14674061	16457022	8480418	12166202	6663617	2159799	4069005	5075345	3405170	13679840	28343661	3657908	13588919	3502905	10025819	9574643	4805289	3653486	8159067	10551647	10349415	1174172	9302894	4010809	2655358	5974032	2684929	6432897	9213125	4237955	13113377	8801508	1476447	1282181	7847995	4407567	11095428	7200300	2461758	1667693	4476786	629944	726818	3515639	5917613	10126867	6810946	1779359	670750	3147060	2361393	16787106	11485657	5612257	1119822	3871657	12360244	C00124
26896294	79076653	31140593	34874486	69835599	84760034	35866450	46845327	75307193	54786377	50587679	39694094	46689756	73823293	46680995	33564444	53556246	12882127	21079005	33379872	61058352	26595689	17607011	45512466	33770644	17952348	9215361	11091986	16399929	41039809	58803878	36657141	22263916	25647889	70958055	64140724	85502774	74877648	199504838	176807452	111171531	35961938	143676944	66894365	83185388	80143107	90482902	160892190	115441697	40880174	94004634	98710441	17108503	43451163	95805952	110204729	98715223	110257727	64741972	74737167	78105620	33043249	27841944	67265154	42913615	140538962	108335449	22034695	21404511	43677858	29893761	138608166	192549769	137683026	76445330	87265341	113629138	C00031
2395980	1771875	2589136	15290775	11527822	2858508	3363903	8029592	8047333	1862918	1615624	908288	3328960	5430969	3137405	9922639	3207467	1777368	6624814	8658465	8319095	1327664	2138903	2271320	5142296	621230	2237564	1686650	2787099	935183	7197324	5749978	1691958	3147347	1957227	4010085	4175930	4910904	5179949	12724111	3806620	16024211	3767357	9685326	12593760	6876699	2963147	5181458	3032448	4949500	1027414	1434879	4519594	2319340	5436351	6438676	4481518	1861813	5310902	2971356	6906381	7350141	2807620	3279058	3810928	8137589	1727319	3021374	4446681	7147900	4422827	1961436	2647715	2907806	6281293	2214899	1834114	C00159
2395008	1032675	405897	1900529	2590760	1915257	2165702	4291603	1481665	3824688	1595637	1713806	1154922	3956449	1732197	1996733	1341141	629834	2262162	3025974	2701348	3021680	1394552	672978	977260	340910	1173522	1738173	719557	839155	2146945	2109681	1050614	974449	1401554	1371667	589843	1152415	5093960	2684834	1250241	1200251	1397573	3593632	3099909	4230536	1512740	477410	697286	1572610	1713401	2007479	2874370	977490	2198421	3074791	1430976	300516	1426470	806523	4641124	2807538	2116227	3030820	2788509	1229913	1470389	1654499	1219419	1441940	805905	4693154	263562	1160419	2737245	980017	911826	C00319
277030	812988	998923	11682645	6457346	613019	77335	630549	1160320	612275	966616	901758	725787	1142219	557173	822378	625505	128246	210984	283784	1281709	258152	438836	348912	888690	281451	1238161	72952	132597	494690	583083	550287	419373	216053	491866	1151713	390654	2977178	3263891	6781918	46343	5192265	4867059	41447	255604	83530	2842985	55073	31539	224053	6145330	1619376	10261	3690	816931	78381	184014	1732608	2071506	28624	2912211	33801	39210	503035	442686	4149642	102656	956986	877287	645150	56052	240880	92174	1786951	1791357	3249567	86156	C16884
6791050	6573221	6893035	8237147	7667327	12029007	6224272	5223158	3135593	9509570	4516066	6746558	6989564	23610394	9376365	3121380	9031061	4702603	2765656	5510969	2327135	10353198	7871412	3832559	6539212	639082	2053564	4828372	2918072	3770771	11745608	4720955	1839844	2633332	11261727	7736680	4131525	7445528	27288440	19408036	11519594	1549585	11985722	4903172	3581324	13100623	3792303	9873329	14516976	14604489	7770432	10205674	13102451	4117430	10615406	15152045	7103314	3413172	4404595	3787435	6318186	1148002	4965482	19051377	1568810	6619389	11284300	6201366	3441173	7731841	5401806	10910510	9584686	7135999	1100881	10437698	15372370	C00181
548563	347317	520437	1805844	2770973	784350	650264	1797478	1164525	538833	560649	484965	416465	983165	596700	928069	272558	212855	625265	1590690	772074	214143	460921	373726	928230	119056	305014	287012	371633	266038	2457627	782396	335309	593036	459487	565439	633974	790127	1454888	1368188	1377726	344858	1310137	2324848	2325266	1210879	1287026	561521	456845	1146797	534345	776853	1235363	918275	1053244	2067439	487752	289089	1336403	417707	1336948	1350580	1731996	1598139	1776053	1032871	530859	425879	1264417	928046	481206	902390	278884	528762	1558069	551199	555584	C00836
7918521	12265060	17733995	19569205	6467896	34505159	21810855	15041324	5683569	47172448	20819451	12958049	6550698	95054996	18886192	18530060	17050190	4126617	4179026	10454101	38830974	13759129	8857869	3892076	10190471	3945122	4434343	10735216	9087047	10109614	58358691	8495510	38179025	10838852	10716405	11075866	26866590	20296406	62632838	63762454	11451036	3832552	40272398	7231450	4478551	28016725	21638085	63993667	17510525	10585424	19041197	81533538	7739040	10121804	36923282	22300672	26218163	48643793	15683000	3464477	48077767	4738920	9576867	16321149	4071407	23966865	10199711	2644011	5721840	26579512	11751257	9190258	2960751	38360743	11846186	14165106	41949727	C00186
2577992	6122854	4933497	13322875	5468296	7071273	5756447	7033323	5264654	10572025	7195491	8883088	3905106	14042831	5898406	5887688	6119470	2815668	4996743	7903799	16164859	3762329	10608511	4240625	15529595	4135414	2595707	3156764	2033363	17448045	15426099	3852230	5860344	3125991	7707421	9314991	59076344	23057969	37965770	44697331	17552235	4217024	87491529	6137505	4589034	30902977	18831283	36987278	24717108	10151986	31507484	25436423	3890544	8917298	14811131	16474358	28713756	51554051	13512762	6218217	30979609	3702996	3290374	13837907	11868491	47052819	28119174	2549936	4696397	13652705	6356353	44269761	45543748	52462780	8002587	18088455	34332980	C00041
230652	606060	529561	606233	630456	662486	376379	410780	271374	663749	501976	374856	304170	2044870	408463	162305	306175	198351	271208	415411	501545	332214	418671	196189	281340	90067	273486	240034	235065	234689	1284570	270407	482716	183002	449498	295092	831147	493872	1964846	2119587	297709	897281	1115440	234122	166164	993976	545409	1726631	329364	272937	871286	1644528	398426	194381	796356	537777	699630	1621576	694627	93778	986080	230804	151922	594949	407196	720285	571875	18559	101885	885810	262175	683649	642952	1641577	662454	697657	1141623	C05607
