LBNL_CC002_M_18	LBNL_CC004_F_23	LBNL_CC004_M_24	LBNL_CC008_F_21	LBNL_CC008_M_22	LBNL_CC010_F_15	LBNL_CC010_M_16	LBNL_CC011_F_25	LBNL_CC011_M_26	LBNL_CC013_F_45	LBNL_CC013_M_46	LBNL_CC026_F_53	LBNL_CC028_F_31	LBNL_CC030_F_43	LBNL_CC030_M_44	LBNL_CC032_F_29	LBNL_CC032_M_30	LBNL_CC033_F_33	LBNL_CC033_M_34	LBNL_CC036_F_35	LBNL_CC036_M_36	LBNL_CC037_F_13	LBNL_CC037_M_14	LBNL_CC038_F_47	LBNL_CC038_M_48	LBNL_CC039_F_11	LBNL_CC050_F_41	LBNL_CC051_F_1	LBNL_CC051_M_2	LBNL_CC052_F_39	LBNL_CC055_M_6	LBNL_CC057_F_49	LBNL_CC061_F_51	LBNL_CC061_M_52	LBNL_CC065_F_9	LBNL_CC065_M_10	UNC_CC002_F_4	UNC_CC002_M_3	UNC_CC004_F_6	UNC_CC004_M_5	UNC_CC008_F_8	UNC_CC008_M_7	UNC_CC010_M_9	UNC_CC011_F_12	UNC_CC011_M_11	UNC_CC013_M_13	UNC_CC016_F_16	UNC_CC016_M_15	UNC_CC021_F_20	UNC_CC021_M_19	UNC_CC026_F_22	UNC_CC026_M_21	UNC_CC028_F_24	UNC_CC028_M_23	UNC_CC030_F_26	UNC_CC030_M_25	UNC_CC032_F_28	UNC_CC032_M_27	UNC_CC033_F_30	UNC_CC033_M_29	UNC_CC036_F_32	UNC_CC036_M_31	UNC_CC037_F_34	UNC_CC037_M_33	UNC_CC038_F_36	UNC_CC038_M_35	UNC_CC039_M_37	UNC_CC050_F_46	UNC_CC050_M_45	UNC_CC051_F_48	UNC_CC051_M_47	UNC_CC052_F_50	UNC_CC052_M_49	UNC_CC061_F_58	UNC_CC061_M_57	UNC_CC065_F_60	UNC_CC065_M_59	KEGG
2104804	1251952	964777	4593036	5556802	1779903	832900	1197462	2050477	2560742	2144923	845860	601065	18100166	2013784	7875786	2845844	741370	1299297	1392610	2545616	980012	699472	759658	1230197	687095	639193	689593	790725	894098	1892238	867650	3881777	4661393	1143084	1032122	4826890	6140824	27415117	26707629	9459397	1422003	19468806	2614465	2435451	5135998	8802841	25782702	3693058	1911487	1229641	6990036	758132	1559087	4597728	3720799	2042858	25515006	2500363	1604925	4387099	3115670	1778733	3274807	836514	33438379	2289146	754651	1550462	1325144	600081	3625022	6457110	22172764	6815092	1474487	973744	C00208
3172814	4046956	8575305	4061358	6586759	3510702	8682746	8204651	10155367	3717836	3413598	1804224	2429774	7989164	5737373	1322118	2692982	2380582	2941375	3893129	1975549	3421705	3394414	2026379	3302637	234292	1553636	3426637	3415055	2099054	12325738	2473257	2483075	4936767	7181038	3545270	985596	6789824	2906662	2126942	2969470	11514573	999107	7281109	9532605	2789418	2857076	2416710	2330416	4356042	1947442	1477533	5180733	5108711	4170180	9038570	2119061	1096914	2724258	3812581	4877045	4651554	5632293	6352843	6884470	877433	3211033	1906897	4571885	3032878	5841145	1701026	7455001	821971	3270944	7594654	4016475	C03425
803525	1281698	1100202	2708516	2267671	1678518	1307216	1695106	1699273	1646930	2516904	1545440	1340998	5224369	1409586	2082225	1224859	839106	1786139	1675393	1975422	542562	1799762	702576	1582948	856933	638294	559505	667716	1060220	1966643	1243211	2352021	1186571	2315867	1517952	2155742	3488298	4952488	7109956	2136656	778199	4147299	1389237	1407683	1956527	916229	2146996	1627187	1135170	2123194	1635604	1787177	1411970	2541227	3731638	2647311	1614913	1555971	969366	2455303	881837	29308	2726976	1897824	4498880	1698468	714784	811278	3373447	3605198	2392569	2173033	2625182	1976406	1944443	2591495	C00137
5435066	5671823	7997141	3477818	1953707	7078337	6956874	6951803	7048268	7297262	6788812	6131123	5386570	6746017	6218259	5967908	5633890	4925556	7219046	7153181	6376913	4620115	7044354	4297686	8861128	2710574	3695707	3770265	4366163	4676478	9003007	5502317	3640926	4681984	6297421	8018720	2368484	4184047	4591188	6482144	3060347	5261706	4586916	3564924	4747226	4199245	2617230	2970732	3406748	3816934	2550258	2917000	3537352	2721073	4230627	4222999	3658636	2218004	4078420	3134892	6143955	2928942	3260102	4551891	5050482	5576733	2951117	2715160	3191959	3471868	2774996	4265527	4320264	2482417	2868631	3047256	3176629	C06424
467615	1727463	1709294	4203391	2601150	3009054	2022374	1938294	1937617	1014332	1715667	2026273	1348930	1843624	1911220	922814	1472425	446421	3227197	3036560	3037663	350194	4725269	888804	6016501	184317	884066	269569	339923	5000523	3581403	1271074	563396	361239	2464381	2524417	900596	2636046	1026680	1291629	2006303	2381990	1916121	1943811	2396067	722283	507189	1132110	2804598	962175	1878919	1731599	487122	317291	2494369	1453211	3246921	1555023	1593244	1447230	3032734	561220	570914	1246374	2938980	2239317	879040	443705	378624	1047220	1575581	4489072	6874726	1718194	689475	962054	2938682	C00253
192890	185260	182119	417177	497384	598467	476227	168291	75309	335942	181937	237840	144398	1188330	225350	143941	178595	50007	79032	115177	231455	254844	99621	10111	560683	88415	37677	107651	133562	962802	747847	101814	184940	118079	200882	479176	966310	757746	1195569	1346915	381260	412348	1854578	317479	198550	1053235	804208	2156179	472992	756129	1005562	1254344	343719	428822	503787	1226355	940115	2116002	790581	442083	905464	76551	237247	636027	430143	586102	1828393	84162	269095	950179	314657	1320233	1821739	1385063	1020642	1454642	2338423	C01826
53637989	30070424	54777066	36095117	39152771	53179949	52133277	39479526	36980215	57361116	36312068	30112623	30696674	35717689	29371144	21834287	45735745	36717847	30002519	28496113	25527196	27164239	37667043	27483258	25886683	15446968	14185648	29939164	35592361	12273079	57753901	33208672	20973161	32332098	48843842	67694709	77503826	91545168	83559050	81154196	44110528	34236413	63238512	26223511	95743378	47042834	33397201	37008322	43872801	59431028	30719050	45492656	66038232	58941992	42490112	73923310	18761084	24041896	89658832	27873706	56368130	28503408	30554304	48768949	58280624	34795897	69925625	28792813	59344083	115882896	68891610	20766969	15608130	25608306	23163059	87801680	24586893	C00712
94502	35981	37606	40100	41813	54896	103026	76418	58607	84772	33950	32917	93092	110132	99114	90634	101897	47091	52041	22048	123373	114492	98857	90480	77126	17968	33992	81526	112680	13949	27134	77557	57243	55435	79916	20327	753399	74394	347111	1426717	214897	41489	804418	281442	67850	78311	87769	161516	312640	66209	68385	56510	75394	31575	328448	305930	952797	527115	70957	26549	1087322	138810	42684	108393	90124	1246240	94054	115834	78689	136479	98458	943383	1205781	640181	295008	36655	1180239	C01468
60588916	52317946	92603344	65238575	85238896	75049610	78210781	74628756	66334193	70008529	73044404	54074910	44272690	75130012	58275668	41497932	53852521	46775297	55502950	61636496	46752615	49671412	63161085	41317048	59267482	23779725	29277262	41212474	46270347	42180917	109328101	51308186	32641675	48508555	70079444	71598311	64840460	70356398	120699082	127019100	80515812	103274239	122685476	60328459	89004900	92917198	64089631	78269810	70640881	71977056	73157741	107731654	90125399	69932837	82887259	121410426	41440469	56499727	78010796	53443241	76943129	64181388	75085710	93556243	49340328	64920218	58404002	59334597	68766436	72677617	46887438	55433010	50534927	57247062	44437475	86746726	61163723	C00249
3370820	2135218	3763530	3000478	3487762	3620097	3699200	3145938	2897383	3958583	3303040	2711543	2484562	3046840	2502745	1855079	2906581	2349540	2744410	2564025	2513086	2240147	2788052	2093294	3176021	1059473	1378680	2039048	2321452	1540151	3924309	2597887	1618748	2516206	3127199	4234817	852429	1135101	1934251	2368715	1247535	1906919	2672113	1139137	1660423	1511668	980634	1211005	1283330	1284801	1339939	1388259	1432309	1043037	1286699	1792100	1002100	949679	1300915	1059554	1695082	950027	1074412	1502130	1952393	2160548	1089226	903437	1154088	1131202	841086	1389616	1316289	1153829	916507	1232981	896311	C08362
180409	778842	367470	1061282	774791	317902	328001	271487	396766	1243583	259165	264726	216287	240584	276479	390476	193913	136872	673232	464790	490238	119852	1291808	119123	1604081	53711	278252	141998	177377	1365843	663478	395710	168126	162471	269123	319375	1192745	2371935	2331769	4269884	230257	1501231	4370833	281710	638358	220935	173461	393781	94245	164982	525286	206403	192821	93316	950378	687669	797321	1476581	443529	451612	447620	318935	168285	490007	343923	3424604	442925	271275	372358	274963	413135	2742668	1090582	3123412	912397	338044	1246826	C00864
1202564	1039331	1735968	3805613	3286917	1289973	1506473	2633175	2009008	1312100	1184534	1226451	2754609	1947128	1331011	2438345	1454387	934207	2428841	3793086	2541305	827824	1610925	1300015	2106254	398700	2315793	759053	879785	598668	2635674	1661143	638383	1293226	1066511	2117539	2118749	3695719	2247652	9007960	2450887	4766572	2839052	3519072	5257317	4226703	1842147	3443086	2511135	5155858	618902	689422	4539093	1830991	4339676	5326532	2445452	1473984	3156329	2042160	6973462	4601303	2414449	3307579	4183977	4159970	979431	2646458	4120113	4343545	2856644	1363543	1462622	1889966	3841589	1158199	758002	C16537
2171655.997	6482242.633	4925502.234	4131919.727	984416.5684	879206.2759	2193760.454	1652299.988	483455.7368	892398.1414	1118956.035	6148772.008	1650889.518	1024838.55	893125.0357	293043.3718	587328.3636	73854.81598	1098596.207	1041490.331	1025814.52	646290.3792	751790.2127	528569.6878	988503.8669	4164520.47	615052.7854	2733286.782	461235.6662	6642164.921	782920.3251	580744.4251	545475.8482	59864.17583	7172611.21	7239474.214	39681257.79	15638698.42	55838621.36	981798.3561	9624759.49	7268532.28	97720030.63	2610059.5	36314.64198	35559814.51	20441181.29	52404870.25	25069550.86	8799165.541	31867833.8	490320.8326	7163425.292	16764510.51	215397.8995	185252.7329	11642986.47	1421491.198	142611.0467	8456256.53	179127.3176	2900647.634	6915402.72	17723321.56	481952.0721	36071631.35	44103117.27	27366.07351	5897097.64	180578.4019	114174.6345	30038969.9	1260810.997	54779654.45	148843.7707	160543.5158	504368.8337	C00079
0	0	0	0	0	0	0	0	0	0	0	0	2521585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6937305	0	7286430	7915918	0	12682370	6079958	0	0	0	0	0	0	0	0	0	0	0	7213714	0	0	5954023	0	0	0	0	0	4478184	0	6772678	0	0	0	3794199	0	0	0	7275374	0	0	0	C00009
2140513	2167515	982326	5858738	5341759	2201875	2802337	1426199	1310873	2453665	2163589	1872855	2200882	2745035	1946682	1352834	907217	2437984	1385290	4274276	1987958	1610734	1375300	871994	1544961	428834	2255396	1009686	852752	864713	4005171	871397	2964391	2177001	1247874	1471260	1004772	523380	2590831	2401978	1855923	2045379	1901606	2616733	1796202	4025486	3044205	2008854	1081221	2496030	2298641	2550457	3223935	2375309	2673661	1671011	1012061	933639	1906339	920915	1823873	3167289	1781247	1969406	1323473	1845184	1188501	630021	2675038	2554979	1144613	1234299	62576	1401923	4553924	1756491	934407	C12144
251773	1147627	906269	1133541	1040067	918041	723492	2619520	580604	854011	1448924	739445	599148	1086011	666489	527987	531933	229282	654046	909159	887751	601893	985047	2033322	4374369	269279	584767	416700	337825	556690	1167172	5623569	434667	487705	767091	989335	2288924	1060027	2428404	7082163	1015324	2043187	4536937	5219936	2105539	2423506	571959	11994049	1262653	756652	102032	166939	256958	297214	1744655	663728	1483377	2855634	922531	498982	528724	775706	389330	1217160	3642620	4575587	586883	455492	652025	806766	968337	1777417	890337	2537628	9873853	1338662	1956062	C00408
1247711	1327782	319685	732356	454736	357574	368453	644040	288899	842325	1281632	854128	682076	663331	376504	330608	340094	305361	448101	395213	374904	718760	444935	393217	350227	1035276	265464	344031	704124	737569	972895	61301	502766	509319	556465	370923	180697	72416	119170	236214	104708	243354	377845	72659	62242	72581	64494	104645	95241	52591	191366	165260	56208	51884	81375	74119	64544	164862	85357	52746	110328	55754	70757	67937	78952	216209	88476	78899	79732	95809	79376	403277	167261	175501	67642	73694	133228	C05113
12835	336915	0	462873	497047	552888	302196	212339	205219	0	0	264194	0	191182	267400	98167	0	9334	330698	252132	349512	159983	526973	183189	642767	57403	0	0	12327	432368	521805	0	0	0	120990	140945	468354	498792	740381	1271928	141687	761067	1783109	187879	163809	57369	5785	190778	579671	92369	289591	98940	57884	22311	422017	238917	693316	650845	33009	208604	831183	40300	49098	148444	309869	1756038	148462	61970	47941	176291	136958	991412	1505154	1008507	449858	91324	453693	C02067
418115	424859	451761	1244481	729487	960167	490153	303177	739440	491046	299276	581760	612799	873608	347958	291313	185651	380183	232497	762284	1022953	257003	295065	213489	362674	131383	515098	314167	1264492	515912	750374	435164	633027	388610	490208	444559	203276	906061	662669	2147486	687487	329688	3037582	340764	289713	481775	318158	969369	998364	329633	1218549	877236	537471	872529	466024	291676	1266588	1320331	423615	259412	1097054	502029	564504	516217	328955	1413515	886744	134292	189382	607172	476984	2642464	1674977	3727474	2083774	407081	583568	C00022
3451549	8723347	4483577	10537313	8277328	13821925	5336868	5190571	6902241	7233896	5988682	6521377	8165424	12010695	5799624	1439582	4726935	2351288	11185450	9910376	12971296	2534227	12212750	4265044	11348271	1659358	2314477	1593753	1984228	12224405	9846577	3609864	3119072	2176986	8664929	11421171	10616565	10277609	10918558	15577088	26729702	5259093	23556203	11852971	5884795	6843705	3202560	14819837	21714477	4480402	19022253	9633351	4532370	2482394	9953017	7339678	33322254	21111192	8338392	5728304	13400662	1383109	1237571	6264195	17997833	41028510	7273762	1904940	1290933	4651737	5484795	26291086	27278802	25016103	2182981	6107666	19984584	C00121
2725891	2118003	5971714	3842778	8717346	5811997	5251727	5280398	4813580	2105478	4991195	4707297	2217718	4147647	6352248	10278800	3400004	2729616	9220359	4816867	3178002	1109960	7832536	2293012	5505832	463460	2526878	1993613	2094356	3639067	15342499	2266394	2952307	3889490	2896883	5023405	2970197	16500724	4893236	12970887	13609480	23433324	7319762	6990678	7771596	4617334	3584491	1296569	6863343	5376164	7710559	11782085	7455081	3958003	9637460	12568432	7445934	4553182	6893180	6560856	3653207	1911475	8714201	14462008	17571392	9061831	2717890	2284416	4418701	8513050	8562882	6450166	10214425	3670845	9629439	3987128	4155983	C08277
293062	527738	255573	430382	1349163	1037172	1048717	1782239	679035	884007	471277	680865	449168	5923805	1083611	386212	522351	109583	90949	1379943	767683	259223	393136	450352	531816	260384	487941	294791	168459	391340	2328111	530242	222202	912438	581290	285554	1191631	4077436	11550570	10073386	1992954	800030	3910582	934125	1030503	1026812	2301407	6650215	2304192	231121	841552	1733766	132111	446311	2067958	1704127	1419835	3175354	798882	1046164	1024104	358761	1734080	616961	244181	9462135	958118	1435725	225978	294451	214543	2079724	5662347	3918718	4425583	660243	987715	C08250
19677969	19430904	33632288	25739374	38441042	27252017	29744251	30358511	24482817	23562597	27651121	22620878	15005254	30177875	23653517	17653345	17968628	16799695	20933208	29991111	17941492	17426295	23482666	15383721	23603792	9356861	13503214	14384263	15578998	16885262	54228404	19299581	12674243	16843613	25322734	24802085	18538065	19323029	33916530	38419702	25723084	46967010	42959307	21571280	31515318	30278319	20382222	22777524	19208105	17278973	29037847	40401909	23627776	17411174	28986927	37167686	14726360	16114567	20736068	15312643	20410368	21498716	24927860	27781401	25079316	20814476	15528624	19470081	22365676	19661692	12782504	25243589	17344941	20872735	16206066	23035621	18172031	C01530
3463369	5184985	7150308	4028281	5580348	5379088	3823184	3539133	3637446	5240388	4289339	6260295	3062957	3024201	2652513	2166137	2458232	2526622	3544207	5422790	3994720	3102651	1798250	2436156	2948570	1532564	2907483	2193051	2249301	2069787	6326647	2496615	1519870	2983633	2933683	3358919	4427203	5641475	15242061	13902590	5803552	9922425	7594512	7751257	6162950	11673875	6679990	8174993	7722345	8490994	1924600	5054151	8604364	7097442	4812264	9522492	3950779	2816410	7182520	4562891	6645454	7604531	8656389	10806776	7951282	2698473	4863718	6052954	9604556	3080729	856665	5375665	5041928	6231965	5528517	6560790	5488741	C05442
2377411	3425679	462278	4724283	3874837	4486528	3221734	1457453	779559	6476359	556360	4586933	3518792	45497809	8701075	5515066	5115236	1821837	1350945	2909211	2196038	625426	2225524	3254318	8812563	1670761	2452177	3981642	3971149	4829787	13191308	1634781	16527852	2605240	9981236	5674671	9006515	4939507	3890722	22283827	810058	2737003	32917431	1628843	361201	21330500	6256197	42135272	4007397	1761083	25536487	32333051	5493605	3202573	13405601	21950105	1155850	32854207	7755293	1682339	578112	1256539	1640672	3806956	9437322	27119677	3509257	1627853	1633551	21165234	4169646	15390214	11347463	16375778	3573104	1831166	6354903	C00042
834002	2084191	3206190	1026682	1447988	3644027	755815	1064237	1016339	2047674	15829454	3452771	1971679	1930703	1141991	1282732	786694	817945	1547358	1067377	1798756	1512869	2013178	943505	1179295	549782	1925752	552934	681591	763710	1753204	1096991	1339455	1280244	872000	1401649	206348	3938251	16773254	18519081	177541	719754	744860	95491	338708	687967	323523	178037	354417	309167	249834	484837	252910	175532	454852	407910	194988	122970	595334	131760	958546	155971	205999	684488	1941577	7813577	471145	107198	165407	533183	184490	418868	278733	323806	2796044	2616341	201582	C00089
265813	448661	483724	1014623	707197	462744	366563	550975	486408	536601	614486	605271	356613	557609	446585	509008	458817	363303	439839	652944	785261	286967	542836	330174	917103	225285	349396	249616	217580	569495	679399	453651	310334	250634	382755	397067	460683	798331	877608	855507	872353	813071	849808	728527	598740	603702	464740	620569	741787	549919	713236	520426	356735	337491	732076	560838	1786977	631273	614150	401047	1174003	531684	381796	503050	640487	1293414	472453	336299	381758	496777	458807	1263672	1276516	841215	554883	556267	813664	C00178
616812	1266984	478905	2987348	1577198	2957601	1163281	188096	470116	5150594	845034	326572	374909	2225966	710276	1496754	622315	799796	1758697	684008	1798542	785684	923612	276248	350642	494813	337659	764109	588972	351253	1162296	173989	1505922	6653097	239287	694610	1246747	1737820	4356608	3819224	484335	719029	1288400	489233	729392	597145	1013438	2048674	764157	392164	594331	8717904	803566	293193	894873	827884	350190	885185	450572	558433	436335	260779	641364	471920	383917	5574873	466074	308280	395030	331503	272698	1468576	1916700	1217000	1877836	406978	417526	C01083
1848983	4611876	5452754	6233181	7333905	6306635	5573093	8873713	5851646	3495849	4546586	5903759	3970344	6055827	5916843	8994918	4911147	2895957	8544485	7981399	9492712	2207544	13116797	3695109	22759778	1243656	3051447	1606797	1653008	14208058	9688710	5680488	1915376	1467506	3887595	5050539	3899869	11408447	7584257	8696097	9761343	10824624	11890637	10975468	7860153	4349092	2179317	5912106	10109840	3673146	11141674	5221001	3265645	1801774	11187962	4955509	18522049	9324269	6477549	4171737	9771827	2791947	3119274	4998312	9980846	34409092	4312613	2386143	2533903	4090008	4848339	13195165	18984689	15013462	5429422	3461163	13930018	C00106
215401	480324	318090	1054155	561553	410876	347180	753151	735080	176241	350956	326110	424087	1001354	910526	255290	585783	264270	634949	954884	605011	210381	1454570	435320	2650816	201332	222711	187586	200175	1609669	1349324	505883	202285	220952	663057	567320	1979080	2666401	1682946	2531363	1083930	1117989	2162920	1588937	1025820	243837	273461	1142663	2274984	422881	2037639	485173	671022	264692	1382267	1302019	4630689	3338015	558400	552379	1014452	266939	285713	801894	1863993	11577625	447900	278833	226675	527176	869698	5360314	3672530	4155916	531140	431706	2081008	C00385
