compound	Species	V1	Var	Mean	VarShare
C01019	4460560	0	21698574187.565	-118728.064965098	0
C01019	4460604	10659528906.488	21698574187.565	-118728.064965098	0.491254808465562
C01019	446135	0	21698574187.565	-118728.064965098	0
C01019	4462541	2642943772.35234	21698574187.565	-118728.064965098	0.121802647008344
C01019	4463108	0	21698574187.565	-118728.064965098	0
C01019	4464113	883573331.764722	21698574187.565	-118728.064965098	0.0407203406144113
C01019	4464787	3544282962.85614	21698574187.565	-118728.064965098	0.163341744587407
C01019	4467447	0	21698574187.565	-118728.064965098	0
C01019	4471135	0	21698574187.565	-118728.064965098	0
C01019	4471525	0	21698574187.565	-118728.064965098	0
C01019	4475886	0	21698574187.565	-118728.064965098	0
C01019	4476330	0	21698574187.565	-118728.064965098	0
C01019	4476780	0	21698574187.565	-118728.064965098	0
C01019	4480176	0	21698574187.565	-118728.064965098	0
C01019	4480555	0	21698574187.565	-118728.064965098	0
C01019	4480557	0	21698574187.565	-118728.064965098	0
C01019	4481359	0	21698574187.565	-118728.064965098	0
C01019	4481506	0	21698574187.565	-118728.064965098	0
C01019	4483570	0	21698574187.565	-118728.064965098	0
C01019	4483585	-24130884.595825	21698574187.565	-118728.064965098	-0.00111209540254741
C01019	449353	0	21698574187.565	-118728.064965098	0
C00181	4402042	0	231928387146.448	-392533.920680137	0
C00181	4402077	13079523802.1826	231928387146.448	-392533.920680137	0.0563946654530208
C00181	4403349	0	231928387146.448	-392533.920680137	0
C00181	4405128	0	231928387146.448	-392533.920680137	0
C00181	4407190	29139718305.224	231928387146.448	-392533.920680137	0.125641016452308
C00181	4407703	0	231928387146.448	-392533.920680137	0
C00181	440840	-103601422.896354	231928387146.448	-392533.920680137	-0.000446695741608105
C00181	4409730	0	231928387146.448	-392533.920680137	0
C00181	4410988	0	231928387146.448	-392533.920680137	0
C00181	441494	0	231928387146.448	-392533.920680137	0
C00181	4416396	0	231928387146.448	-392533.920680137	0
C00181	4416434	291854309.266384	231928387146.448	-392533.920680137	0.00125838114453017
C00181	4416927	0	231928387146.448	-392533.920680137	0
C00181	4417539	0	231928387146.448	-392533.920680137	0
C00181	4418586	0	231928387146.448	-392533.920680137	0
C00181	4420206	0	231928387146.448	-392533.920680137	0
C00181	4420272	0	231928387146.448	-392533.920680137	0
C00181	4421933	11594383.0678231	231928387146.448	-392533.920680137	4.99912201799685e-05
C00181	4424239	0	231928387146.448	-392533.920680137	0
C00181	4424327	1173214428.59945	231928387146.448	-392533.920680137	0.00505852018821067
C00181	4425571	0	231928387146.448	-392533.920680137	0
C00181	4426877	0	231928387146.448	-392533.920680137	0
C00181	4428313	0	231928387146.448	-392533.920680137	0
C00181	4430498	0	231928387146.448	-392533.920680137	0
C00181	4432234	0	231928387146.448	-392533.920680137	0
C00181	4432238	0	231928387146.448	-392533.920680137	0
C00181	4432841	0	231928387146.448	-392533.920680137	0
C00181	4433947	0	231928387146.448	-392533.920680137	0
C00181	4435934	-821622034.530212	231928387146.448	-392533.920680137	-0.00354256779275324
C00181	443620	0	231928387146.448	-392533.920680137	0
C00181	4437875	0	231928387146.448	-392533.920680137	0
C00181	4439360	0	231928387146.448	-392533.920680137	0
C00181	4440360	0	231928387146.448	-392533.920680137	0
C00181	4440624	0	231928387146.448	-392533.920680137	0
C00181	4440970	0	231928387146.448	-392533.920680137	0
C00181	4442899	0	231928387146.448	-392533.920680137	0
C00181	4443094	0	231928387146.448	-392533.920680137	0
C00181	4444771	0	231928387146.448	-392533.920680137	0
C00181	4446898	0	231928387146.448	-392533.920680137	0
C00181	4447176	0	231928387146.448	-392533.920680137	0
C00181	4448052	0	231928387146.448	-392533.920680137	0
C00181	4449236	0	231928387146.448	-392533.920680137	0
C00181	4449518	0	231928387146.448	-392533.920680137	0
C00181	4449524	0	231928387146.448	-392533.920680137	0
C00181	4449526	0	231928387146.448	-392533.920680137	0
C00181	4449633	-111331011.608236	231928387146.448	-392533.920680137	-0.000480023221728084
C00181	4449851	0	231928387146.448	-392533.920680137	0
C00181	4449984	0	231928387146.448	-392533.920680137	0
C00181	4451901	0	231928387146.448	-392533.920680137	0
C00181	4452613	0	231928387146.448	-392533.920680137	0
C00181	4453627	1932397.1779705	231928387146.448	-392533.920680137	8.33187002999472e-06
C00181	4453723	0	231928387146.448	-392533.920680137	0
C00181	4454025	0	231928387146.448	-392533.920680137	0
C00181	4455677	0	231928387146.448	-392533.920680137	0
C00181	4456605	0	231928387146.448	-392533.920680137	0
C00181	4459184	0	231928387146.448	-392533.920680137	0
C00181	4460560	0	231928387146.448	-392533.920680137	0
C00181	4460604	113698779948.25	231928387146.448	-392533.920680137	0.490232271034836
C00181	446135	0	231928387146.448	-392533.920680137	0
C00181	4462541	27871650187.1898	231928387146.448	-392533.920680137	0.120173517912625
C00181	4463108	0	231928387146.448	-392533.920680137	0
C00181	4464113	9365643432.30182	231928387146.448	-392533.920680137	0.0403816175653738
C00181	4464787	37669527233.4286	231928387146.448	-392533.920680137	0.162418786664708
C00181	4467447	0	231928387146.448	-392533.920680137	0
C00181	4471135	0	231928387146.448	-392533.920680137	0
C00181	4471525	898564687.756285	231928387146.448	-392533.920680137	0.00387431956394755
C00181	4475886	0	231928387146.448	-392533.920680137	0
C00181	4476330	0	231928387146.448	-392533.920680137	0
C00181	4476780	0	231928387146.448	-392533.920680137	0
C00181	4480176	0	231928387146.448	-392533.920680137	0
C00181	4480555	0	231928387146.448	-392533.920680137	0
C00181	4480557	0	231928387146.448	-392533.920680137	0
C00181	4481359	0	231928387146.448	-392533.920680137	0
C00181	4481506	0	231928387146.448	-392533.920680137	0
C00181	4483570	0	231928387146.448	-392533.920680137	0
C00181	4483585	-237061498.961995	231928387146.448	-392533.920680137	-0.00102213231367968
C00181	449353	0	231928387146.448	-392533.920680137	0
C00695	4402042	0	8673506191.42902	-143604.885491516	0
C00695	4402077	-16276957.5643061	8673506191.42902	-143604.885491516	-0.0018766294973526
C00695	4403349	0	8673506191.42902	-143604.885491516	0
C00695	4405128	0	8673506191.42902	-143604.885491516	0
C00695	4407190	24387675.9933744	8673506191.42902	-143604.885491516	0.00281174365419532
C00695	4407703	-17637312.0815067	8673506191.42902	-143604.885491516	-0.00203346970558867
C00695	440840	319919.40175159	8673506191.42902	-143604.885491516	3.68846686323609e-05
C00695	4409730	0	8673506191.42902	-143604.885491516	0
C00695	4410988	0	8673506191.42902	-143604.885491516	0
C00695	441494	-6294015.22997591	8673506191.42902	-143604.885491516	-0.000725659853243147
C00695	4416396	0	8673506191.42902	-143604.885491516	0
C00695	4416434	128300.363694155	8673506191.42902	-143604.885491516	1.47922144588931e-05
C00695	4416927	0	8673506191.42902	-143604.885491516	0
C00695	4417539	-37710403.2996329	8673506191.42902	-143604.885491516	-0.0043477692258867
C00695	4418586	717615.779636985	8673506191.42902	-143604.885491516	8.27365270513231e-05
C00695	4420206	0	8673506191.42902	-143604.885491516	0
C00695	4420272	569669.500318158	8673506191.42902	-143604.885491516	6.56792636962771e-05
C00695	4421933	0	8673506191.42902	-143604.885491516	0
C00695	4424239	0	8673506191.42902	-143604.885491516	0
C00695	4424327	4388584.8044531	8673506191.42902	-143604.885491516	0.00050597586576808
C00695	4425571	0	8673506191.42902	-143604.885491516	0
C00695	4426877	-987855.711871482	8673506191.42902	-143604.885491516	-0.000113893469384695
C00695	4428313	-281533.541342805	8673506191.42902	-143604.885491516	-3.24590235055127e-05
C00695	4430498	0	8673506191.42902	-143604.885491516	0
C00695	4432234	0	8673506191.42902	-143604.885491516	0
C00695	4432238	0	8673506191.42902	-143604.885491516	0
C00695	4432841	0	8673506191.42902	-143604.885491516	0
C00695	4433947	-1371763.95819717	8673506191.42902	-143604.885491516	-0.0001581556440869
C00695	4435934	-1908876.42419944	8673506191.42902	-143604.885491516	-0.000220081289166053
C00695	443620	0	8673506191.42902	-143604.885491516	0
C00695	4437875	0	8673506191.42902	-143604.885491516	0
C00695	4439360	-6613016.25032748	8673506191.42902	-143604.885491516	-0.000762438638351619
C00695	4440360	-16599818.2686496	8673506191.42902	-143604.885491516	-0.00191385327943309
C00695	4440624	-2847280.19347726	8673506191.42902	-143604.885491516	-0.000328273264656326
C00695	4440970	0	8673506191.42902	-143604.885491516	0
C00695	4442899	0	8673506191.42902	-143604.885491516	0
C00695	4443094	0	8673506191.42902	-143604.885491516	0
C00695	4444771	0	8673506191.42902	-143604.885491516	0
C00695	4446898	120655.459066993	8673506191.42902	-143604.885491516	1.39108056654439e-05
