OTU	LBNL_CC002_M_18	LBNL_CC004_F_23	LBNL_CC004_M_24	LBNL_CC008_F_21	LBNL_CC008_M_22	LBNL_CC010_F_15	LBNL_CC010_M_16	LBNL_CC011_F_25	LBNL_CC011_M_26	LBNL_CC013_F_45	LBNL_CC013_M_46	LBNL_CC026_F_53	LBNL_CC028_F_31	LBNL_CC030_F_43	LBNL_CC030_M_44	LBNL_CC032_F_29	LBNL_CC032_M_30	LBNL_CC033_F_33	LBNL_CC033_M_34	LBNL_CC036_F_35	LBNL_CC036_M_36	LBNL_CC037_F_13	LBNL_CC037_M_14	LBNL_CC038_F_47	LBNL_CC038_M_48	LBNL_CC039_F_11	LBNL_CC050_F_41	LBNL_CC051_F_1	LBNL_CC051_M_2	LBNL_CC052_F_39	LBNL_CC055_M_6	LBNL_CC057_F_49	LBNL_CC061_F_51	LBNL_CC061_M_52	LBNL_CC065_F_9	LBNL_CC065_M_10	UNC_CC002_F_4	UNC_CC002_M_3	UNC_CC004_F_6	UNC_CC004_M_5	UNC_CC008_F_8	UNC_CC008_M_7	UNC_CC010_M_9	UNC_CC011_F_12	UNC_CC011_M_11	UNC_CC013_M_13	UNC_CC016_F_16	UNC_CC016_M_15	UNC_CC021_F_20	UNC_CC021_M_19	UNC_CC026_F_22	UNC_CC026_M_21	UNC_CC028_F_24	UNC_CC028_M_23	UNC_CC030_F_26	UNC_CC030_M_25	UNC_CC032_F_28	UNC_CC032_M_27	UNC_CC033_F_30	UNC_CC033_M_29	UNC_CC036_F_32	UNC_CC036_M_31	UNC_CC037_F_34	UNC_CC037_M_33	UNC_CC038_F_36	UNC_CC038_M_35	UNC_CC039_M_37	UNC_CC050_F_46	UNC_CC050_M_45	UNC_CC051_F_48	UNC_CC051_M_47	UNC_CC052_F_50	UNC_CC052_M_49	UNC_CC061_F_58	UNC_CC061_M_57	UNC_CC065_F_60	UNC_CC065_M_59
308400	16	61	15	59	32	76	0	4	25	22	0	72	7	25	13	12	18	51	1	2	59	11	49	32	0	1	66	0.5	0.5	1	0	72	51	50	17	29	66	0	66	93	1	0	0	0	0	1	12	0	0	0	0	0.5	12	0	1	0.5	0	0.5	0	1	0	19	32.5	12.5	3	42	8	0.5	2	0	0	0	0	0	0	23	0
1105376	2	3	1	3	2	8	0	1	0	7	0	0	7	7	15	5	21	4	9	18	1	0	3	1	5	2	1	0	0	0	0	1	27	4	0	0	2	0	3	4	15	0	0	0	0	17	5	23	7	1	174.666666666667	54	10	14	23	15.5	37	62	94	14	9.5	5	5	5.5	0.5	9	1.5	6	9	0	1	57	8	39	68	0	0
355291	42	2	4	15	8	21	0	0	4	0	0	1	17	1	0	2	0	4	0	6	2	14	34	1	0	5	1	29	175.5	0	164	0	1	0	141	59	1	20	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	32	0	0	0	0	0.5	0	0	10	14	3.5	0	18	10.5	1	0	0	1	11	16
321972	75	44	72	60	67	67	221	81	81	115	158	33	40	146	40	79	87	52	694	93	51	94	66	70	597	43	53	29.5	36	820	100	80	55	71	119	124	52	75	68	31	39	678	11	256	236	1100	244	108	4	259	18	69.5	40	68	37	58.5	173.5	128	449	258.5	75.5	88	29	33	452	81	8.5	54.5	11	401	172.5	231	43	18	207	1	11
264657	7	24	12	8	13	24	0	1	10	9	51	23	5	3	7	12	12	20	27	19	11	8	21	16	2	0	22	0	0	9	0	11	19	26	4	7	12	0	18	21	11	0	1	8	5	3	11	3	14	13	0.333333333333333	3.5	8	7	0	0	10	27.5	4	3	13.5	6	5.5	2.5	0	7	1	3.5	19	0	0	0	5	2	0	0	0
331965	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
422727	11	10	11	8	8	3	1	17	11	8	9	15	2	9	4	6	1	10	5	0	8	7	7	5	0	8	6	0.5	3.5	0	4	3	11	10	3	25	9	2	9	3	14	0	3	1	0	0	14	3	1	9	8	34.5	0	9	10	13	24	6.5	7	20.5	3	9	6	5	2	3	12	3.5	3	4	1.5	20	11	26	0	10	40
176751	11	10	6	10	12	8	12	5	11	17	9	9	14	6	7	6	10	4	2	10	10	6	9	23	1	10	5	14	7	10	9	17	5	8	5	6	13	5	9	8	12	0	17	1	2	3	29	10	7	2	4.33333333333333	2.5	7	16	6	6	0	2.5	9	1.5	2	6.5	8	15.5	4	22	4	8	9	4	3.5	1	5	2	0	2	4
330772	2	8	4	9	7	9	0	2	6	2	1	6	0	19	23	4	11	5	14	22	6	1	4	2	1	2	16	0	1.5	11	0	20	3	9	2	4	5	0	12	4	1	1	1	22	21	0	21	17	7	14	15	39	55	63	23	1	5	2.5	47	54	61	13	30	23.5	4	7	1.5	9	26	0	0	0	1	0	0	0	0
331720	27	88	38	50	48	72	0	11	41	56	288	117	86	153	57	18	72	84	178	17	56	19	77	198	36	68	69	2.5	1.5	47	0	61	282	87	10	32	103	1	86	104	136	3	2	6	2	77	23	57	221	25	194.666666666667	180	144	159	17	35	26.5	17	177	176	9.5	11	67.5	115	21	43	10	9	86	0	1	92	38	523	13	7	0
