Rxn	Species	SamplesWithNeg	SamplesWithPos	SamplesWithBoth	FracPosLastTP	FracNegLastTP	ClearPos	ClearNeg	Reversible
3OAS12M14	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS12M14	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS12M14	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS13M14	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS13M14	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS13M14	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS140	BcaccaeAGORA	0	61	0	1	0	1	0	0
3OAS140	BovatusAGORA	0	61	0	1	0	1	0	0
3OAS140	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS3M4	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS3M4	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS3M4	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS4M3O6	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS4M3O6	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS4M3O6	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS4M6	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS4M6	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS4M6	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS5M6	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS5M6	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS5M6	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS60	BcaccaeAGORA	0	61	0	1	0	1	0	0
3OAS60	BovatusAGORA	0	61	0	1	0	1	0	0
3OAS60	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS6M8	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS6M8	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS6M8	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS7M8	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS7M8	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS7M8	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS80	BcaccaeAGORA	0	61	0	1	0	1	0	0
3OAS80	BovatusAGORA	0	61	0	1	0	1	0	0
3OAS80	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS8M10	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS8M10	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS8M10	ErectaleAGORA	0	61	0	1	0	1	0	0
3OAS9M10	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3OAS9M10	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3OAS9M10	ErectaleAGORA	0	61	0	1	0	1	0	0
4HBNOX	CsymbiosumAGORA	0	61	0	1	0	1	0	0
A5PISO	BcaccaeAGORA	0	61	0	1	0	1	0	0
A5PISO	BovatusAGORA	0	61	0	1	0	1	0	0
A5PISO	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ABTA	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ABTAr	EcoliAGORA	0	61	0	1	0	1	0	0
ABUTD	CaerofaciensAGORA	0	58	0	0.327586206896552	0	1	0	0
ABUTR	CaerofaciensAGORA	0	58	0	0.327586206896552	0	1	0	0
ABUTt2r	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ACACT1r	CsymbiosumAGORA	61	50	50	0.147540983606557	0.852459016393443	0	0	1
ACACT1r_1	ErectaleAGORA	0	61	0	1	0	1	0	0
ACACT1r_2	EcoliAGORA	0	61	0	1	0	1	0	0
ACALD_1	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
ACALD_1	DpigerAGORA	6	61	6	1	0	0	0	1
ACALD_1	ErectaleAGORA	0	61	0	1	0	1	0	0
ACALD_1	MformatexigensAGORA	0	61	0	1	0	1	0	0
ACALD_2	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ACALD_2	CsymbiosumAGORA	13	61	13	0.442622950819672	0	0	0	1
ACALD_2	EcoliAGORA	4	61	4	1	0	0	0	1
ACBIPGT	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACBIPGT	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ACBIPGT	ErectaleAGORA	0	61	0	1	0	1	0	0
ACCOAC	BcaccaeAGORA	0	61	0	1	0	1	0	0
ACCOAC	BovatusAGORA	0	61	0	1	0	1	0	0
ACCOAC	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACCOACL	ErectaleAGORA	0	61	0	1	0	1	0	0
ACCOAL2	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
