noiseLevel	SimRun	TimePoint	Species	Code	value
8	45	577	BhydrogenotrophicaAGORA	Bh	0.00543335434799315
8	46	577	BhydrogenotrophicaAGORA	Bh	0.00667140231171499
8	47	577	BhydrogenotrophicaAGORA	Bh	0.00526137526031778
8	48	577	BhydrogenotrophicaAGORA	Bh	0.00446082192168926
8	49	577	BhydrogenotrophicaAGORA	Bh	0.00339137700157364
8	50	577	BhydrogenotrophicaAGORA	Bh	0.00828328605886558
8	51	577	BhydrogenotrophicaAGORA	Bh	0.00605822886319786
8	52	577	BhydrogenotrophicaAGORA	Bh	0.00562801671949071
8	53	577	BhydrogenotrophicaAGORA	Bh	0.00565292776437068
8	54	577	BhydrogenotrophicaAGORA	Bh	0.00522881483727911
8	55	577	BhydrogenotrophicaAGORA	Bh	0.00445921952779249
8	56	577	BhydrogenotrophicaAGORA	Bh	0.00677082139909427
8	57	577	BhydrogenotrophicaAGORA	Bh	0.00833130235509456
8	58	577	BhydrogenotrophicaAGORA	Bh	0.00643010950304227
8	59	577	BhydrogenotrophicaAGORA	Bh	0.0059627546623686
8	60	577	BhydrogenotrophicaAGORA	Bh	0.00653428681160886
8	61	577	BhydrogenotrophicaAGORA	Bh	0.00631043781376663
8	1	577	BovatusAGORA	Bo	0.0910714852504253
8	2	577	BovatusAGORA	Bo	0.0738591428526797
8	3	577	BovatusAGORA	Bo	0.0657501126258687
8	4	577	BovatusAGORA	Bo	0.0610953419791282
8	5	577	BovatusAGORA	Bo	0.0476471295862102
8	6	577	BovatusAGORA	Bo	0.0477691541216205
8	7	577	BovatusAGORA	Bo	0.0373952900503384
8	8	577	BovatusAGORA	Bo	0.0864164406975083
8	9	577	BovatusAGORA	Bo	0.0912629499358279
8	10	577	BovatusAGORA	Bo	0.0808647882352072
8	11	577	BovatusAGORA	Bo	0.0923198247815228
8	12	577	BovatusAGORA	Bo	0.0835692952891629
8	13	577	BovatusAGORA	Bo	0.0835173422093505
8	14	577	BovatusAGORA	Bo	0.0923584510704712
8	15	577	BovatusAGORA	Bo	0.0939620864274356
8	16	577	BovatusAGORA	Bo	0.0962359469694718
8	17	577	BovatusAGORA	Bo	0.0895662140597798
