SimRun	TimePoint	Species	Code	value
15	577	BovatusAGORA	Bo	0.09279605
16	577	BovatusAGORA	Bo	0.09302565
17	577	BovatusAGORA	Bo	0.0931435
18	577	BovatusAGORA	Bo	0.09325315
19	577	BovatusAGORA	Bo	0.09326561
20	577	BovatusAGORA	Bo	0.0907732
21	577	BovatusAGORA	Bo	0.08992496
22	577	BovatusAGORA	Bo	0.08891926
23	577	BovatusAGORA	Bo	0.08814541
24	577	BovatusAGORA	Bo	0.08696488
25	577	BovatusAGORA	Bo	0.08581481
26	577	BovatusAGORA	Bo	0.09144454
27	577	BovatusAGORA	Bo	0.0911169
28	577	BovatusAGORA	Bo	0.09065813
29	577	BovatusAGORA	Bo	0.09019182
30	577	BovatusAGORA	Bo	0.08941764
31	577	BovatusAGORA	Bo	0.08881821
32	577	BovatusAGORA	Bo	0.09108174
33	577	BovatusAGORA	Bo	0.09062477
34	577	BovatusAGORA	Bo	0.09015713
35	577	BovatusAGORA	Bo	0.08991987
36	577	BovatusAGORA	Bo	0.08969058
37	577	BovatusAGORA	Bo	0.08971196
38	577	BovatusAGORA	Bo	0.09097286
39	577	BovatusAGORA	Bo	0.09027741
40	577	BovatusAGORA	Bo	0.0894655
41	577	BovatusAGORA	Bo	0.08883338
42	577	BovatusAGORA	Bo	0.08790547
43	577	BovatusAGORA	Bo	0.08707873
44	577	BovatusAGORA	Bo	0.1289283
45	577	BovatusAGORA	Bo	0.1512606
46	577	BovatusAGORA	Bo	0.1726842
47	577	BovatusAGORA	Bo	0.1867488
48	577	BovatusAGORA	Bo	0.2043953
49	577	BovatusAGORA	Bo	0.2179467
50	577	BovatusAGORA	Bo	0.07221939
51	577	BovatusAGORA	Bo	0.060084
52	577	BovatusAGORA	Bo	0.04848552
53	577	BovatusAGORA	Bo	0.04094939
54	577	BovatusAGORA	Bo	0.03162916
55	577	BovatusAGORA	Bo	0.02461661
56	577	BovatusAGORA	Bo	0.09168875
57	577	BovatusAGORA	Bo	0.09157722
58	577	BovatusAGORA	Bo	0.09140187
59	577	BovatusAGORA	Bo	0.09128744
60	577	BovatusAGORA	Bo	0.09107287
61	577	BovatusAGORA	Bo	0.09088862
1	577	BthetaiotaomicronAGORA	Bt	0.07736037
2	577	BthetaiotaomicronAGORA	Bt	0.05891377
3	577	BthetaiotaomicronAGORA	Bt	0.04849885
4	577	BthetaiotaomicronAGORA	Bt	0.03894167
5	577	BthetaiotaomicronAGORA	Bt	0.03290496
6	577	BthetaiotaomicronAGORA	Bt	0.02591975
7	577	BthetaiotaomicronAGORA	Bt	0.02066248
8	577	BthetaiotaomicronAGORA	Bt	0.07598652
9	577	BthetaiotaomicronAGORA	Bt	0.07494358
