noiseLevel	SimRun	TimePoint	niceLab	compound	value
8	12	577	cellulose	cellul[env]	0.000522763341372482
8	12	577	l-cysteinylglycine	cgly[env]	0.0209398498457345
8	12	577	choline	chol[env]	0.0106093647515823
8	12	577	citrate	cit[env]	0.00434230803013232
8	12	577	chloride	cl[env]	18.5788206169423
8	12	577	carbon dioxide	co2[env]	7.69597543214117
8	12	577	co2+	cobalt2[env]	21.8335417640263
8	12	577	cytosine	csn[env]	0.000000000218790647628565
8	12	577	cu2+	cu2[env]	21.6372692051288
8	12	577	l-cysteine	cys_L[env]	0.102746649172389
8	12	577	ethanol	etoh[env]	0.00510514220731088
8	12	577	fe2+	fe2[env]	21.758446860739
8	12	577	fe3+	fe3[env]	21.7709652587021
8	12	577	folate	fol[env]	0.199590337173268
8	12	577	formate	for[env]	3.95544991961488
8	12	577	d-fructose	fru[env]	0.00949869801376516
8	12	577	d-galactose	gal[env]	0.0110232244578869
8	12	577	d-glucose	glc_D[env]	0.0111630901814144
8	12	577	l-glutamine	gln_L[env]	0.0102507630166548
8	12	577	l-glutamate(1-)	glu_L[env]	0.00957417556798778
8	12	577	glycine	gly[env]	0.0211868764918892
8	12	577	glycerol	glyc[env]	0.0111023438914506
8	12	577	guanine	gua[env]	0.000000000390947046693891
8	12	577	hydrogen	h2[env]	0.558482763337127
8	12	577	water	h2o[env]	2213.85407788084
8	12	577	hydrogen sulfide	h2s[env]	24.5641407065532
8	12	577	proton	h[env]	0.337734474711457
8	12	577	hexadecanoate (n-c16:0)	hdca[env]	0.110592815616339
8	12	577	l-histidine	his_L[env]	0.289220479012967
8	12	577	l-isoleucine	ile_L[env]	0.284554608375584
8	12	577	indole	indole[env]	0.162530393671584
8	12	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
8	12	577	potassium	k[env]	18.6997913660881
8	12	577	l-leucine	leu_L[env]	0.146345812623749
8	12	577	l-lysinium(1+)	lys_L[env]	0.200327134812474
8	12	577	maltotriose	malttr[env]	0.00435805915395646
8	12	577	l-methionine	met_L[env]	0.345652673890325
8	12	577	magnesium	mg2[env]	21.1066439558452
8	12	577	mn2+	mn2[env]	17.7647580021118
8	12	577	molybdate	mobd[env]	23.5509221725011
8	12	577	menaquinone 7	mqn7[env]	0.220000083521773
8	12	577	sodium	na1[env]	21.6658198973748
8	12	577	nicotinate	nac[env]	0.186234156498034
8	12	577	ammonium	nh4[env]	12.5213251865426
8	12	577	octadecanoate (n-c18:0)	ocdca[env]	0.0938370190789016
8	12	577	ornithine	orn[env]	0.0103200488747116
8	12	577	phenylacetate	pac[env]	0.116746632192005
8	12	577	l-phenylalanine	phe_L[env]	0.00452568764202378
8	12	577	protoheme	pheme[env]	0.218479860764548
8	12	577	hydrogenphosphate	pi[env]	2322.1887155165
8	12	577	(r)-pantothenate	pnto_R[env]	0.220505445432828
8	12	577	propionate	ppa[env]	4.42886968286136
8	12	577	l-proline	pro_L[env]	0.0134750995468532
8	12	577	putrescine	ptrc[env]	0.0805738969737862
8	12	577	pyridoxal	pydx[env]	0.413252966237911
8	12	577	pyridoxine	pydxn[env]	0.00693200826405001
8	12	577	ubiquinone-8	q8[env]	0.203634952301365
8	12	577	riboflavin	ribflv[env]	0.205052273177198
8	12	577	selenite	selni[env]	20.3979498595528
8	12	577	l-serine	ser_L[env]	0.0140703881599761
8	12	577	siroheme	sheme[env]	0.225195838910514
8	12	577	sulfate	so4[env]	20.8582084406549
8	12	577	succinate	succ[env]	0.000521963701303619
8	12	577	sucrose	sucr[env]	0.00703969285068087
8	12	577	thiamin	thm[env]	0.216442191508732
8	12	577	l-threonine	thr_L[env]	0.00498922515807368
8	12	577	l-tryptophan	trp_L[env]	0.00460433906421254
8	12	577	tetradecanoate (n-c14:0)	ttdca[env]	0.140392067144864
8	12	577	l-tyrosine	tyr_L[env]	0.174954534805348
8	12	577	uracil	ura[env]	0.122569590000625
8	12	577	l-valine	val_L[env]	0.304367311713643
8	12	577	zinc	zn2[env]	21.999317140828
8	13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.185569993724485
8	13	577	3-methyl-2-oxopentanoate	3mop[env]	0
8	13	577	4-aminobutanoate	4abut[env]	0.0567292859871332
8	13	577	acetate	ac[env]	2.00583675811808
8	13	577	l-alanine	ala_L[env]	0.0133764086390833
8	13	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000165153020598832
