SimRun	TimePoint	niceLab	compound	value
18	577	amylose	amylose300[env]	0.0000466294653816181
19	577	amylose	amylose300[env]	0.0000464236704207083
1	577	amylose	amylose300[env]	0.0000474003863558175
20	577	amylose	amylose300[env]	0.0000476429820025144
21	577	amylose	amylose300[env]	0.0000478098537247003
22	577	amylose	amylose300[env]	0.0000479775053056021
23	577	amylose	amylose300[env]	0.0000480878265541245
24	577	amylose	amylose300[env]	0.0000482175585890355
25	577	amylose	amylose300[env]	0.0000483012445264882
26	577	amylose	amylose300[env]	0.000047300173332447
27	577	amylose	amylose300[env]	0.0000472168276079203
28	577	amylose	amylose300[env]	0.0000471178783802848
29	577	amylose	amylose300[env]	0.0000470306783158711
2	577	amylose	amylose300[env]	0.0000465856022791989
30	577	amylose	amylose300[env]	0.0000468876243151519
31	577	amylose	amylose300[env]	0.000046739627230914
32	577	amylose	amylose300[env]	0.0000482771728445657
33	577	amylose	amylose300[env]	0.0000489349067676966
34	577	amylose	amylose300[env]	0.0000496584218778988
35	577	amylose	amylose300[env]	0.0000501891811461349
36	577	amylose	amylose300[env]	0.0000509173246307564
37	577	amylose	amylose300[env]	0.0000515171384187039
38	577	amylose	amylose300[env]	0.0000474478353155206
39	577	amylose	amylose300[env]	0.000047481055354956
3	577	amylose	amylose300[env]	0.0000461816771325995
40	577	amylose	amylose300[env]	0.0000475095979105485
41	577	amylose	amylose300[env]	0.000047522189945431
42	577	amylose	amylose300[env]	0.0000475225000522312
43	577	amylose	amylose300[env]	0.0000475008660859762
44	577	amylose	amylose300[env]	0.0000472126729782736
45	577	amylose	amylose300[env]	0.0000472005145013985
46	577	amylose	amylose300[env]	0.0000472389000397709
47	577	amylose	amylose300[env]	0.000047287862961127
48	577	amylose	amylose300[env]	0.0000473652141839735
49	577	amylose	amylose300[env]	0.00004743276312671
4	577	amylose	amylose300[env]	0.0000458575537500213
50	577	amylose	amylose300[env]	0.0000475999935984813
51	577	amylose	amylose300[env]	0.0000477365165954547
52	577	amylose	amylose300[env]	0.0000478808042430514
53	577	amylose	amylose300[env]	0.0000479640162838468
54	577	amylose	amylose300[env]	0.000048042359412354
55	577	amylose	amylose300[env]	0.0000480767871468212
56	577	amylose	amylose300[env]	0.0000474665077369243
