ModelAGORA	Organism	CopyNum
Bacteroides_sp_2_2_4	Bacteroides sp. 2_2_4	1
Bacteroides_sp_3_1_19	Bacteroides sp. 3_1_19	3
Bacteroides_sp_3_1_23	Bacteroides sp. 3_1_23	4
Bacteroides_sp_3_1_33FAA	Bacteroides sp. 3_1_33FAA	1
Bacteroides_sp_3_1_40A	Bacteroides sp. 3_1_40A	2
Bacteroides_sp_3_2_5	Bacteroides sp. 3_2_5	1
Bacteroides_sp_4_1_36	Bacteroides sp. 4_1_36	2
Bacteroides_sp_4_3_47FAA	Bacteroides sp. 4_3_47FAA	1
Bacteroides_sp_9_1_42FAA	Bacteroides sp. 9_1_42FAA	2
Bacteroides_sp_D1	Bacteroides sp. D1	1
Bacteroides_sp_D2	Bacteroides sp. D2	1
Bacteroides_sp_D20	Bacteroides sp. D20	1
Bacteroides_sp_D22	Bacteroides sp. D22	1
Bacteroides_stercoris_ATCC_43183	Bacteroides stercoris ATCC 43183	4
Bacteroides_thetaiotaomicron_VPI_5482	Bacteroides thetaiotaomicron VPI-5482	5
Bacteroides_timonensis_AP1	Bacteroides timonensis AP1	NA
Bacteroides_uniformis_ATCC_8492	Bacteroides uniformis ATCC 8492	4
Bacteroides_ureolyticus_DSM_20703	Bacteroides ureolyticus DSM 20703	1
Bacteroides_vulgatus_ATCC_8482	Bacteroides vulgatus ATCC 8482	7
Bacteroides_xylanisolvens_SD_CC_1b	Bacteroides xylanisolvens SD CC 1b	1
Bacteroides_xylanisolvens_XB1A	Bacteroides xylanisolvens XB1A	0
Barnesiella_intestinihominis_YIT_11860	Barnesiella intestinihominis YIT 11860	4
Bartonella_quintana_Toulouse	Bartonella quintana Toulouse	2
Bifidobacterium_adolescentis_ATCC_15703	Bifidobacterium adolescentis ATCC 15703	5
Bifidobacterium_angulatum_DSM_20098	Bifidobacterium angulatum DSM 20098	1
Bifidobacterium_animalis_lactis_AD011	Bifidobacterium animalis lactis AD011	2
Bifidobacterium_animalis_lactis_BB_12	Bifidobacterium animalis lactis BB-12	4
Bifidobacterium_animalis_lactis_Bi_07	Bifidobacterium animalis lactis Bi-07	4
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219	Bifidobacterium animalis lactis Bl-04, ATCC SD5219	4
Bifidobacterium_animalis_lactis_CNCM_I_2494	Bifidobacterium animalis lactis CNCM I-2494	4
Bifidobacterium_animalis_lactis_DSM_10140	Bifidobacterium animalis lactis DSM 10140	4
Bifidobacterium_animalis_lactis_V9	Bifidobacterium animalis lactis V9	4
Bifidobacterium_bifidum_BGN4	Bifidobacterium bifidum BGN4	3
Bifidobacterium_bifidum_NCIMB_41171	Bifidobacterium bifidum NCIMB 41171	1
Bifidobacterium_bifidum_PRL2010	Bifidobacterium bifidum PRL2010	3
Bifidobacterium_bifidum_S17	Bifidobacterium bifidum S17	3
Bifidobacterium_boum_DSM_20432	Bifidobacterium boum DSM 20432	2
Bifidobacterium_breve_HPH0326	Bifidobacterium breve HPH0326	2
Bifidobacterium_breve_UCC2003_NCIMB8807	Bifidobacterium breve UCC2003 (NCIMB8807)	2
Bifidobacterium_catenulatum_DSM_16992	Bifidobacterium catenulatum DSM 16992	1
Bifidobacterium_coryneforme_DSM_20216	Bifidobacterium coryneforme DSM 20216	1
Bifidobacterium_dentium_ATCC_27678	Bifidobacterium dentium ATCC 27678	4
Bifidobacterium_gallicum_DSM_20093	Bifidobacterium gallicum DSM 20093	1
Bifidobacterium_kashiwanohense_DSM_21854	Bifidobacterium kashiwanohense DSM 21854	1
Bifidobacterium_longum_DJO10A	Bifidobacterium longum DJO10A	4
Bifidobacterium_longum_E18	Bifidobacterium longum E18	4
