ModelAGORA	Organism	CopyNum
Ruminococcus_callidus_ATCC_2776001	Ruminococcus callidus ATCC 2776001	1
Ruminococcus_champanellensis_18P13	Ruminococcus champanellensis 18P13	1
Ruminococcus_flavefaciens_ATCC_19208	Ruminococcus flavefaciens ATCC 19208	1
Ruminococcus_flavefaciens_FD_1	Ruminococcus flavefaciens FD-1	2
Ruminococcus_gauvreauii_DSM_19829	Ruminococcus gauvreauii DSM 19829	3
Ruminococcus_gnavus_ATCC_29149	Ruminococcus gnavus ATCC 29149	2
Ruminococcus_lactaris_ATCC_29176	Ruminococcus lactaris ATCC 29176	3
Ruminococcus_obeum_A2_162	Ruminococcus obeum A2-162	1
Ruminococcus_sp_5_1_39BFAA	Ruminococcus sp. 5_1_39BFAA	7
Ruminococcus_sp_SR1_5	Ruminococcus sp. SR1/5	NA
Ruminococcus_torques_ATCC_27756	Ruminococcus torques ATCC 27756	9
Ruminococcus_torques_L2_14	Ruminococcus torques L2-14	1
Salmonella_enterica_enterica_sv_Typhimurium_LT2	Salmonella enterica enterica sv Typhimurium LT2	7
Scardovia_inopinata_F0304	Scardovia inopinata F0304	3
Schlesneria_paludicola_DSM_18645	Schlesneria paludicola DSM 18645	3
Selenomonas_ruminantium_AC2024	Selenomonas ruminantium AC2024	7
Serratia_fonticola_RB_25	Serratia fonticola RB-25	7
Serratia_liquefaciens_ATCC_27592	Serratia liquefaciens ATCC 27592	7
Serratia_marcescens_subsp_marcescens_Db11	Serratia marcescens Db11	0
Shigella_dysenteriae_Sd197	Shigella dysenteriae Sd197	7
Shigella_flexneri_2002017	Shigella flexneri 2002017	6
Shigella_sonnei_Ss046	Shigella sonnei Ss046	7
Silanimonas_lenta_DSM_16282	Silanimonas lenta DSM 16282	3
Slackia_exigua_ATCC_700122	Slackia exigua ATCC 700122	3
Slackia_piriformis_YIT_12062	Slackia piriformis YIT 12062	6
Solobacterium_moorei_DSM_22971	Solobacterium moorei DSM 22971	2
Solobacterium_moorei_F0204	Solobacterium moorei F0204	1
Sphingomonas_paucimobilis_HER1398	Sphingomonas paucimobilis HER1398	1
Spirosoma_linguale_DSM_74	Spirosoma linguale DSM 74	4
Staphylococcus_arlettae_CVD059	Staphylococcus arlettae CVD059	7
Staphylococcus_aureus_subsp_aureus_USA300_FPR3757	Staphylococcus aureus subsp. aureus USA300_FPR3757	5
Staphylococcus_capitis_CR0101	Staphylococcus capitis CR0101	1
Staphylococcus_capitis_QN1	Staphylococcus capitis QN1	3
Staphylococcus_caprae_C87	Staphylococcus caprae C87	6
Staphylococcus_cohnii_hu_01	Staphylococcus cohnii hu-01	NA
Staphylococcus_epidermidis_ATCC_12228	Staphylococcus epidermidis ATCC 12228	5
Staphylococcus_equorum_subsp_equorum_Mu2	Staphylococcus equorum subsp. equorum Mu2	1
Staphylococcus_haemolyticus_JCSC1435	Staphylococcus haemolyticus JCSC1435	5
Staphylococcus_hominis_subsp_hominis_C80	Staphylococcus hominis subsp. hominis C80	8
Staphylococcus_intermedius_ATCC_27335	Staphylococcus intermedius ATCC 27335	4
Staphylococcus_lugdunensis_HKU09_01	Staphylococcus lugdunensis HKU09-01	6
Staphylococcus_pasteuri_SP1	Staphylococcus pasteuri SP1	5
Staphylococcus_pettenkoferi_VCU012	Staphylococcus pettenkoferi VCU012	2
Staphylococcus_saprophyticus_subsp_saprophyticus_ATCC_15305	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	6
Staphylococcus_sciuri_subsp_sciuri_Z8	Staphylococcus sciuri subsp. sciuri Z8	1
Staphylococcus_simulans_ACS_120_V_Sch1	Staphylococcus simulans ACS-120-V-Sch1	5
Staphylococcus_vitulinus_F1028	Staphylococcus vitulinus F1028	1
Staphylococcus_warneri_SG1	Staphylococcus warneri SG1	5
Staphylococcus_xylosus_DMB3_Bh1	Staphylococcus xylosus DMB3-Bh1	1
Staphylococcus_xylosus_NJ	Staphylococcus xylosus NJ	1
Stenotrophomonas_maltophilia_D457	Stenotrophomonas maltophilia D457	4
Stenotrophomonas_rhizophila_PCA13	Stenotrophomonas rhizophila PCA13	NA
Stoquefichus_massiliensis_AP9	Stoquefichus massiliensis AP9	1
Streptococcus_agalactiae_A909	Streptococcus agalactiae A909	7
Streptococcus_anginosus_1_2_62CV	Streptococcus anginosus 1_2_62CV	1
Streptococcus_australis_ATCC_700641	Streptococcus australis ATCC 700641	1
Streptococcus_constellatus_subsp_constellatus_SK53	Streptococcus constellatus subsp. constellatus SK53	1
Streptococcus_constellatus_subsp_pharyngis_SK1060	Streptococcus constellatus subsp. pharyngis SK1060	1
Streptococcus_cristatus_ATCC_51100	Streptococcus cristatus ATCC 51100	1
Streptococcus_dysgalactiae_subsp_dysgalactiae_ATCC_27957	Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957	5
Streptococcus_equi_subsp_equi_4047	Streptococcus equi subsp. equi 4047	6
Streptococcus_equinus_ATCC_9812	Streptococcus equinus ATCC 9812	1
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143	5
Streptococcus_gordonii_str_Challis_substr_CH1	Streptococcus gordonii str. Challis substr. CH1	4
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102	Streptococcus infantarius subsp. infantarius ATCC BAA-102	NA
Streptococcus_infantis_ATCC_700779	Streptococcus infantis ATCC 700779	NA
Streptococcus_intermedius_JTH08	Streptococcus intermedius JTH08	NA
Streptococcus_lutetiensis_033	Streptococcus lutetiensis 033	6
Streptococcus_mitis_NCTC_12261	Streptococcus mitis NCTC 12261	4
Streptococcus_mutans_ATCC_25175	Streptococcus mutans ATCC 25175	5
Streptococcus_oralis_Uo5	Streptococcus oralis Uo5	4
Streptococcus_parasanguinis_ATCC_903	Streptococcus parasanguinis ATCC 903	1
Streptococcus_parauberis_KCTC_11537	Streptococcus parauberis KCTC 11537	5
Streptococcus_peroris_ATCC_700780	Streptococcus peroris ATCC 700780	1
Streptococcus_pleomorphus_DSM_20574	Streptococcus pleomorphus DSM 20574	3
Streptococcus_pneumoniae_G54	Streptococcus pneumoniae G54	4
Streptococcus_pseudopneumoniae_IS7493	Streptococcus pseudopneumoniae IS7493	1
Streptococcus_pyogenes_MGAS9429	Streptococcus pyogenes MGAS9429	6
Streptococcus_salivarius_JIM8777	Streptococcus salivarius JIM8777	NA
Streptococcus_sanguinis_SK36	Streptococcus sanguinis SK36	NA
Streptococcus_sp_2_1_36FAA	Streptococcus sp. 2_1_36FAA	2
Streptococcus_sp_I_G2	Streptococcus sp. I-G2	2
Streptococcus_sp_I_P16	Streptococcus sp. I-P16	3
Streptococcus_thermophilus_LMG_18311	Streptococcus thermophilus LMG 18311	6
Streptococcus_thoraltensis_DSM_12221	Streptococcus thoraltensis DSM 12221	2
Streptococcus_uberis_0140J	Streptococcus uberis 0140J	5
Streptococcus_vestibularis_F0396	Streptococcus vestibularis F0396	6
Subdoligranulum_variabile_DSM_15176	Subdoligranulum variabile DSM 15176	1
Succinatimonas_hippei_YIT_12066	Succinatimonas hippei YIT 12066	1
Succinivibrio_dextrinosolvens_H5	Succinivibrio dextrinosolvens H5	5
Sulfolobus_solfataricus_P2	Sulfolobus solfataricus P2	1
Sutterella_parvirubra_YIT_11816	Sutterella parvirubra YIT 11816	2
Sutterella_wadsworthensis_3_1_45B	Sutterella wadsworthensis 3_1_45B	6
Tannerella_forsythia_ATCC_43037	Tannerella forsythia ATCC 43037	1
Tatumella_ptyseos_ATCC_33301	Tatumella ptyseos ATCC 33301	1
Trabulsiella_guamensis_ATCC_49490	Trabulsiella guamensis ATCC 49490	1
Tropheryma_whipplei_str_Twist	Tropheryma whipplei str. Twist	1
Trueperella_pyogenes_MS249	Trueperella pyogenes MS249	1
Ureaplasma_parvum_serovar_1_str_ATCC_27813	Ureaplasma parvum serovar 1 str. ATCC 27813	2
Ureaplasma_urealyticum_serovar_8_str_ATCC_27618	Ureaplasma urealyticum serovar 8 str. ATCC 27618	2
Ureibacillus_thermosphaericus_str_Thermo_BF	Ureibacillus thermosphaericus str. Thermo-BF	1
Varibaculum_cambriense_DSM_15806	Varibaculum cambriense DSM 15806	2
Veillonella_atypica_ACS_049_V_Sch6	Veillonella atypica ACS-049-V-Sch6	2
Veillonella_dispar_ATCC_17748	Veillonella dispar ATCC 17748	3
Veillonella_parvula_Te3_DSM_2008	Veillonella parvula Te3, DSM 2008	2
Veillonella_ratti_ACS_216_V_Col6b	Veillonella ratti ACS-216-V-Col6b	3
Veillonella_sp_3_1_44	Veillonella sp. 3_1_44	4
Veillonella_sp_6_1_27	Veillonella sp. 6_1_27	5
Vibrio_fluvialis_560	Vibrio fluvialis 560	2
Vibrio_fluvialis_I21563	Vibrio fluvialis I21563	2
Vibrio_fluvialis_PG41	Vibrio fluvialis PG41	1
Vibrio_furnissii_NCTC_11218	Vibrio furnissii NCTC 11218	7
Vibrio_mimicus_MB_451	Vibrio mimicus MB-451	7
Vibrio_parahaemolyticus_RIMD_2210633	Vibrio parahaemolyticus RIMD 2210633	11
Weissella_cibaria_KACC_11862	Weissella cibaria KACC 11862	1
Weissella_confusa_LBAE_C39_2	Weissella confusa LBAE C39-2	1
Weissella_paramesenteroides_ATCC_33313	Weissella paramesenteroides ATCC 33313	1
Yersinia_bercovieri_ATCC_43970	Yersinia bercovieri ATCC 43970	17
Yersinia_enterocolitica_subsp_enterocolitica_8081	Yersinia enterocolitica subsp. enterocolitica 8081	7
Yersinia_frederiksenii_ATCC_33641	Yersinia frederiksenii ATCC 33641	2
Yersinia_kristensenii_ATCC_33638	Yersinia kristensenii ATCC 33638	1
Yersinia_pseudotuberculosis_YPIII	Yersinia pseudotuberculosis YPIII	7
Yersinia_rohdei_ATCC_43380	Yersinia rohdei ATCC 43380	2
Yokenella_regensburgei_ATCC_43003	Yokenella regensburgei ATCC 43003	1
